time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,rollout/exploration_rate,time/time_elapsed,time/episodes,time/total_timesteps,train/loss,train/n_updates,train/learning_rate
7829,-1312.25,2334.5,0.9112890000000005,1,4,9338,,,
8008,-1301.0,2324.875,0.8233094999999997,2,8,18599,,,
7595,-1290.8333333333333,2314.1666666666665,0.7361850000000004,3,12,27770,,,
7476,-1293.4375,2316.5625,0.6478824999999999,4,16,37065,,,
7541,-1290.5,2312.5,0.5606249999999999,6,20,46250,,,
5573,-1294.0416666666667,2316.625,0.47180950000000055,9,24,55599,0.10615057498216629,1399,0.0001
3972,-1272.857142857143,2298.3928571428573,0.38862750000000057,16,28,64355,0.06486478447914124,3588,0.0001
3365,-1256.15625,2284.71875,0.3054454999999997,21,32,73111,0.10296285152435303,5777,0.0001
2980,-1231.75,2277.222222222222,0.22119000000000066,27,36,81980,0.08883026242256165,7994,0.0001
2720,-1211.625,2275.2,0.1354240000000002,33,40,91008,0.09995187073945999,10251,0.0001
2527,-1193.409090909091,2271.5454545454545,0.05049399999999982,39,44,99948,0.05860457569360733,12486,0.0001
2379,-1177.7291666666667,2270.1458333333335,0.05,45,48,108967,0.12694057822227478,14741,0.0001
2260,-1166.5192307692307,2270.9423076923076,0.05,52,52,118089,0.10012747347354889,17022,0.0001
2176,-1156.482142857143,2269.285714285714,0.05,58,56,127080,0.10080928355455399,19269,0.0001
2108,-1145.0333333333333,2267.75,0.05,64,60,136065,0.10002600401639938,21516,0.0001
2051,-1134.1875,2263.5,0.05,70,64,144864,0.1434677243232727,23715,0.0001
2003,-1125.735294117647,2262.0588235294117,0.05,76,68,153820,0.09641651809215546,25954,0.0001
1962,-1114.0277777777778,2259.402777777778,0.05,82,72,162677,0.21166837215423584,28169,0.0001
1926,-1108.0,2258.6315789473683,0.05,89,76,171656,0.07864681631326675,30413,0.0001
1897,-1099.8125,2257.675,0.05,95,80,180614,0.11879286170005798,32653,0.0001
1868,-1093.845238095238,2256.6666666666665,0.05,101,84,189560,0.10359909385442734,34889,0.0001
1845,-1091.159090909091,2257.0,0.05,107,88,198616,0.12746968865394592,37153,0.0001
1825,-1085.2608695652175,2255.663043478261,0.05,113,92,207521,0.14972448348999023,39380,0.0001
1805,-1081.2395833333333,2255.8125,0.05,119,96,216558,0.09811057150363922,41639,0.0001
1787,-1075.75,2254.3,0.05,126,100,225430,0.1528426557779312,43857,0.0001
1772,-1063.42,2251.23,0.05,132,104,234461,0.14478443562984467,46115,0.0001
1759,-1048.16,2246.88,0.05,138,108,243287,0.18669359385967255,48321,0.0001
1747,-1034.09,2242.85,0.05,144,112,252055,0.12287135422229767,50513,0.0001
1735,-1018.91,2239.28,0.05,150,116,260993,0.1533156782388687,52748,0.0001
1726,-1005.45,2236.47,0.05,156,120,269897,0.084705650806427,54974,0.0001
1717,-990.49,2232.78,0.05,162,124,278877,0.10057470947504044,57219,0.0001
1708,-980.68,2234.2,0.05,168,128,287775,0.09293156862258911,59443,0.0001
1700,-971.39,2237.57,0.05,174,132,296868,0.12003320455551147,61716,0.0001
1691,-967.39,2238.9,0.05,180,136,305870,0.11473982036113739,63967,0.0001
1682,-960.93,2237.16,0.05,187,140,314724,0.14619557559490204,66180,0.0001
1675,-955.43,2236.54,0.05,193,144,323602,0.14950621128082275,68400,0.0001
1669,-950.97,2234.5,0.05,199,148,332417,0.10050467401742935,70604,0.0001
1663,-944.55,2231.45,0.05,205,152,341234,0.11355938762426376,72808,0.0001
1657,-937.71,2230.0,0.05,211,156,350080,0.12668929994106293,75019,0.0001
1651,-931.6,2228.45,0.05,217,160,358910,0.16791188716888428,77227,0.0001
1646,-926.99,2229.69,0.05,223,164,367833,0.11597000807523727,79458,0.0001
1641,-919.21,2228.18,0.05,229,168,376638,0.0987299233675003,81659,0.0001
1635,-914.55,2227.58,0.05,235,172,385435,0.13846063613891602,83858,0.0001
1631,-906.17,2226.0,0.05,241,176,394256,0.09590863436460495,86063,0.0001
1627,-903.53,2226.29,0.05,247,180,403243,0.09481970965862274,88310,0.0001
1623,-895.82,2225.62,0.05,253,184,412122,0.1287248283624649,90530,0.0001
1619,-884.21,2222.07,0.05,259,188,420823,0.11220504343509674,92705,0.0001
1615,-878.08,2222.58,0.05,266,192,429779,0.1362997591495514,94944,0.0001
1611,-868.6,2220.04,0.05,272,196,438562,0.13580520451068878,97140,0.0001
1607,-861.59,2219.96,0.05,278,200,447426,0.1148630678653717,99356,0.0001
1604,-851.08,2217.37,0.05,284,204,456198,0.09571322798728943,101549,0.0001
1600,-844.15,2216.99,0.05,290,208,464986,0.14898277819156647,103746,0.0001
1598,-835.71,2216.19,0.05,296,212,473674,0.10243628174066544,105918,0.0001
1595,-828.21,2213.25,0.05,302,216,482318,0.1432667225599289,108079,0.0001
1591,-818.57,2210.76,0.05,308,220,490973,0.1130610778927803,110243,0.0001
1584,-811.78,2210.2,0.05,315,224,499897,0.11037511378526688,112474,0.0001
1579,-804.59,2209.25,0.05,322,228,508700,0.1093117743730545,114674,0.0001
1575,-797.53,2205.98,0.05,328,232,517466,0.09522143751382828,116866,0.0001
1573,-787.86,2202.39,0.05,334,236,526109,0.10508400201797485,119027,0.0001
1571,-782.17,2201.32,0.05,340,240,534856,0.07747731357812881,121213,0.0001
1569,-773.9,2198.64,0.05,346,244,543466,0.13644276559352875,123366,0.0001
1567,-764.51,2197.65,0.05,352,248,552182,0.08219948410987854,125545,0.0001
1564,-755.87,2197.02,0.05,358,252,560936,0.12285948544740677,127733,0.0001
1560,-747.81,2196.67,0.05,365,256,569747,0.12426484376192093,129936,0.0001
1556,-739.42,2193.83,0.05,371,260,578293,0.0916476845741272,132073,0.0001
1554,-732.49,2191.91,0.05,377,264,587024,0.11632174998521805,134255,0.0001
1553,-727.3,2191.75,0.05,383,268,595813,0.1516875922679901,136453,0.0001
1551,-721.77,2191.82,0.05,389,272,604617,0.135064035654068,138654,0.0001
1550,-714.22,2188.74,0.05,395,276,613130,0.12762349843978882,140782,0.0001
1545,-705.49,2186.81,0.05,402,280,621924,0.09993304312229156,142980,0.0001
1540,-701.08,2185.56,0.05,409,284,630678,0.10078644752502441,145169,0.0001
1536,-698.86,2186.43,0.05,416,288,639466,0.1138293519616127,147366,0.0001
1530,-691.62,2183.64,0.05,423,292,648143,0.21067431569099426,149535,0.0001
1527,-687.16,2183.22,0.05,430,296,656884,0.09591931104660034,151720,0.0001
1524,-679.62,2181.1,0.05,436,300,665536,0.10553482919931412,153883,0.0001
1523,-676.26,2180.64,0.05,442,304,674262,0.15938884019851685,156065,0.0001
1521,-672.0,2180.38,0.05,448,308,683024,0.08777577430009842,158255,0.0001
1519,-667.11,2179.24,0.05,455,312,691598,0.10565289855003357,160399,0.0001
1518,-663.21,2180.03,0.05,461,316,700321,0.17096193134784698,162580,0.0001
1516,-659.86,2180.03,0.05,467,320,708976,0.1119430884718895,164743,0.0001
1515,-650.65,2177.46,0.05,473,324,717643,0.1531023532152176,166910,0.0001
1513,-647.22,2177.34,0.05,479,328,726434,0.15698933601379395,169108,0.0001
1512,-643.78,2176.72,0.05,486,332,735138,0.08667775243520737,171284,0.0001
1511,-638.19,2177.13,0.05,492,336,743822,0.12877486646175385,173455,0.0001
1511,-633.51,2177.65,0.05,498,340,752621,0.10482919961214066,175655,0.0001
1509,-630.68,2177.99,0.05,504,344,761265,0.11938613653182983,177816,0.0001
1508,-625.9,2177.21,0.05,510,348,769903,0.13732017576694489,179975,0.0001
1506,-621.07,2175.61,0.05,516,352,778497,0.15295810997486115,182124,0.0001
1503,-617.97,2173.66,0.05,523,356,787113,0.08183679729700089,184278,0.0001
1502,-614.66,2174.07,0.05,529,360,795700,0.12863634526729584,186424,0.0001
1502,-611.23,2174.26,0.05,535,364,804450,0.13429884612560272,188612,0.0001
1501,-606.44,2172.54,0.05,541,368,813067,0.16505910456180573,190766,0.0001
1501,-601.12,2171.55,0.05,547,372,821772,0.12477144598960876,192942,0.0001
1499,-599.39,2172.58,0.05,553,376,830388,0.14095290005207062,195096,0.0001
1497,-596.22,2171.73,0.05,560,380,839097,0.07255672663450241,197274,0.0001
1495,-589.53,2172.07,0.05,567,384,847885,0.11103871464729309,199471,0.0001
1493,-584.19,2170.41,0.05,573,388,856507,0.1476278156042099,201626,0.0001
1492,-579.49,2170.51,0.05,579,392,865194,0.13980518281459808,203798,0.0001
1491,-575.67,2170.14,0.05,585,396,873898,0.11744226515293121,205974,0.0001
1489,-574.39,2170.33,0.05,592,400,882569,0.14686916768550873,208142,0.0001
1487,-570.85,2170.21,0.05,599,404,891283,0.10547395050525665,210320,0.0001
1486,-567.86,2169.69,0.05,605,408,899993,0.19513830542564392,212498,0.0001
1484,-565.35,2169.59,0.05,611,412,908557,0.13646548986434937,214639,0.0001
1483,-560.65,2168.19,0.05,618,416,917140,0.2018575370311737,216784,0.0001
1481,-556.67,2168.09,0.05,624,420,925785,0.11925801634788513,218946,0.0001
1479,-554.37,2166.44,0.05,631,424,934287,0.07470118999481201,221071,0.0001
1478,-546.66,2164.02,0.05,637,428,942836,0.17001980543136597,223208,0.0001
1476,-539.84,2162.37,0.05,644,432,951375,0.17401248216629028,225343,0.0001
1476,-537.31,2161.67,0.05,650,436,959989,0.1266639679670334,227497,0.0001
1476,-533.62,2160.61,0.05,655,440,968682,0.13335919380187988,229670,0.0001
1477,-530.5,2160.35,0.05,661,444,977300,0.15440653264522552,231824,0.0001
1476,-528.59,2159.46,0.05,667,448,985849,0.16667988896369934,233962,0.0001
1475,-525.7,2159.48,0.05,673,452,994445,0.08457835018634796,236111,0.0001
