rollout/exploration_rate,time/fps,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/episodes,train/learning_rate,train/n_updates,train/loss
0.9128660000000004,1897,-1000.8000000000001,4,9172,2293.0,4,,,
0.8254754999999998,1798,-1003.27,10,18371,2296.375,8,,,
0.737819,1912,-1003.8591666666667,14,27598,2299.8333333333335,12,,,
0.6503619999999994,1819,-1003.7112500000001,20,36804,2300.25,16,,,
0.5626960000000004,1865,-1006.0929999999998,24,46032,2301.6,20,,,
0.4780224999999999,1460,-981.2941666666667,37,54945,2289.375,24,0.0001,238736,0.09893497079610825
0.3931874999999999,1121,-959.7021428571428,56,63875,2281.25,28,0.0001,240968,0.07833191007375717
0.3089890000000003,970,-934.2175,74,72738,2273.0625,32,0.0001,243184,0.06954312324523926
0.22434400000000065,868,-912.89,94,81648,2268.0,36,0.0001,245411,0.0401902049779892
0.14184600000000036,819,-885.4285,110,90332,2258.3,40,0.0001,247582,0.03467864170670509
0.05856899999999998,781,-854.6045454545455,126,99098,2252.2272727272725,44,0.0001,249774,0.03471219167113304
0.05,756,-824.6520833333334,142,107738,2244.5416666666665,48,0.0001,251934,0.05066097900271416
0.05,735,-798.8525000000001,158,116457,2239.5576923076924,52,0.0001,254114,0.04416688159108162
0.05,719,-774.5448214285714,173,125014,2232.3928571428573,56,0.0001,256253,0.03858700767159462
0.05,700,-752.5891666666665,190,133710,2228.5,60,0.0001,258427,0.042610928416252136
0.05,688,-732.1296875,206,142306,2223.53125,64,0.0001,260576,0.08601780980825424
0.05,673,-713.6298529411765,223,150883,2218.8676470588234,68,0.0001,262720,0.04707788676023483
0.05,662,-699.3143055555556,240,159541,2215.847222222222,72,0.0001,264885,0.057931121438741684
0.05,654,-684.5163157894738,256,168126,2212.184210526316,76,0.0001,267031,0.03871660679578781
0.05,648,-671.485875,272,176850,2210.625,80,0.0001,269212,0.035348355770111084
0.05,641,-659.0032142857142,289,185503,2208.3690476190477,84,0.0001,271375,0.03265184909105301
0.05,636,-646.7361363636363,305,194225,2207.1022727272725,88,0.0001,273556,0.034136220812797546
0.05,631,-637.3185869565217,321,202873,2205.141304347826,92,0.0001,275718,0.047104522585868835
0.05,625,-628.3119791666667,337,211516,2203.2916666666665,96,0.0001,277878,0.0466502383351326
0.05,620,-619.6392000000001,354,220186,2201.86,100,0.0001,280046,0.02930942177772522
0.05,616,-595.2265,371,228798,2196.26,104,0.0001,282199,0.04594499617815018
0.05,611,-571.4494,388,237430,2190.59,108,0.0001,284357,0.05459553748369217
0.05,609,-547.3758000000001,404,246201,2186.03,112,0.0001,286550,0.03889878839254379
0.05,605,-522.9552,421,254872,2180.68,116,0.0001,288717,0.03852701932191849
0.05,602,-499.22689999999994,437,263615,2175.83,120,0.0001,290903,0.037854500114917755
0.05,599,-481.8228,454,272309,2173.64,124,0.0001,293077,0.033903393894433975
0.05,596,-463.5438,470,280861,2169.86,128,0.0001,295215,0.04013808071613312
0.05,594,-449.3542,487,289422,2166.84,132,0.0001,297355,0.04372870922088623
0.05,592,-435.13499999999993,503,297939,2162.91,136,0.0001,299484,0.04507782310247421
0.05,589,-425.95419999999996,520,306601,2162.69,140,0.0001,301650,0.029476812109351158
0.05,588,-419.9583,535,315206,2161.08,144,0.0001,303801,0.03679167851805687
0.05,586,-415.8157,552,323923,2161.85,148,0.0001,305980,0.053162649273872375
0.05,584,-412.79900000000015,568,332591,2161.34,152,0.0001,308147,0.022879047319293022
0.05,582,-410.26630000000006,585,341129,2161.15,156,0.0001,310282,0.030681878328323364
0.05,581,-409.1024000000001,601,349775,2160.65,160,0.0001,312443,0.02887735888361931
0.05,579,-407.4978,617,358360,2160.54,164,0.0001,314589,0.02788829244673252
0.05,578,-407.34009999999995,634,366980,2160.97,168,0.0001,316744,0.04212129861116409
0.05,577,-403.7677000000001,650,375539,2159.98,172,0.0001,318884,0.04356185719370842
0.05,575,-402.42530000000005,667,384166,2160.4,176,0.0001,321041,0.03500131517648697
0.05,574,-401.05400000000003,683,392678,2158.28,180,0.0001,323169,0.04608342424035072
0.05,573,-400.15049999999997,699,401246,2157.43,184,0.0001,325311,0.03219180554151535
0.05,572,-400.0866,716,409830,2156.05,188,0.0001,327457,0.042527806013822556
0.05,571,-397.8900000000001,732,418390,2155.17,192,0.0001,329597,0.0294166412204504
0.05,570,-396.44449999999995,748,426933,2154.17,196,0.0001,331733,0.022146159783005714
0.05,568,-394.7985,765,435410,2152.24,200,0.0001,333852,0.023805785924196243
0.05,568,-394.7503,781,444085,2152.87,204,0.0001,336021,0.037926085293293
0.05,567,-394.0895,798,452727,2152.97,208,0.0001,338181,0.025296185165643692
0.05,566,-392.5444,814,461348,2151.47,212,0.0001,340336,0.0196368545293808
0.05,565,-391.9827,830,469926,2150.54,216,0.0001,342481,0.05007381737232208
0.05,564,-390.26830000000007,847,478659,2150.44,220,0.0001,344664,0.054311033338308334
0.05,564,-389.45840000000004,863,487422,2151.13,224,0.0001,346855,0.035315971821546555
0.05,563,-390.6928,880,496059,2151.98,228,0.0001,349014,0.027941636741161346
0.05,562,-389.8703,896,504583,2151.61,232,0.0001,351145,0.04718467593193054
0.05,562,-389.7317,912,513216,2152.77,236,0.0001,353303,0.02658103033900261
0.05,561,-387.848,929,521794,2151.93,240,0.0001,355448,0.038963012397289276
0.05,560,-387.3688,946,530494,2152.88,244,0.0001,357623,0.039020150899887085
0.05,560,-386.9568,962,539178,2152.55,248,0.0001,359794,0.03819277137517929
0.05,559,-385.259,979,547894,2153.03,252,0.0001,361973,0.03324275091290474
0.05,559,-383.9902,995,556462,2153.33,256,0.0001,364115,0.039296869188547134
0.05,558,-382.3436,1011,565096,2153.21,260,0.0001,366273,0.04860076308250427
0.05,558,-383.31759999999997,1028,573927,2155.67,264,0.0001,368481,0.03608445078134537
0.05,557,-381.5686,1045,582599,2156.19,268,0.0001,370649,0.045872993767261505
0.05,556,-381.5813,1061,591248,2157.09,272,0.0001,372811,0.036002546548843384
0.05,556,-380.86189999999993,1077,599829,2156.63,276,0.0001,374957,0.025096099823713303
0.05,556,-380.6757,1093,608247,2155.69,280,0.0001,377061,0.026484236121177673
0.05,555,-379.74710000000005,1110,617009,2157.63,284,0.0001,379252,0.025969248265028
0.05,555,-378.80029999999994,1126,625579,2157.49,288,0.0001,381394,0.02869047224521637
0.05,554,-379.0236000000001,1142,634136,2157.46,292,0.0001,383533,0.01880250684916973
