time/fps,rollout/ep_len_mean,rollout/exploration_rate,time/time_elapsed,time/episodes,time/total_timesteps,rollout/ep_rew_mean,train/learning_rate,train/loss,train/n_updates
1880,2297.25,0.9127045,4,4,9189,-1007.97,,,
1798,2296.875,0.8254374999999997,10,8,18375,-1003.08,,,
1913,2304.3333333333335,0.7373059999999999,14,12,27652,-1005.8775000000002,,,
1796,2300.5625,0.6503145000000002,20,16,36809,-1006.1225000000001,,,
1840,2294.8,0.5639879999999996,24,20,45896,-1004.5539999999999,,,
1444,2285.4583333333335,0.47891550000000027,37,24,54851,-977.7483333333333,0.0001,0.055937305092811584,238712
1116,2281.0,0.39325399999999977,57,28,63868,-958.6221428571429,0.0001,0.10373624414205551,240966
965,2269.21875,0.3101575000000002,75,32,72615,-934.3043749999999,0.0001,0.07803336530923843,243153
864,2262.1111111111113,0.2263580000000005,94,36,81436,-908.9894444444444,0.0001,0.037080470472574234,245358
815,2257.35,0.1422070000000002,110,40,90294,-883.0649999999999,0.0001,0.08624356240034103,247573
779,2248.1363636363635,0.060278999999999416,126,44,98918,-854.3038636363636,0.0001,0.02660575695335865,249729
754,2238.9166666666665,0.05,142,48,107468,-826.050625,0.0001,0.04117098078131676,251866
734,2230.076923076923,0.05,157,52,115964,-799.658653846154,0.0001,0.031067857518792152,253990
717,2226.0535714285716,0.05,173,56,124659,-778.0551785714285,0.0001,0.5881357192993164,256164
698,2221.1666666666665,0.05,190,60,133270,-757.3593333333333,0.0001,0.065130315721035,258317
686,2215.953125,0.05,206,64,141821,-737.7950000000001,0.0001,0.03512377664446831,260455
671,2212.470588235294,0.05,223,68,150448,-719.08,0.0001,0.031930096447467804,262611
661,2210.8194444444443,0.05,240,72,159179,-703.9854166666667,0.0001,0.030333442613482475,264794
652,2211.2894736842104,0.05,257,76,168058,-691.4638157894736,0.0001,0.026001395657658577,267014
647,2207.3375,0.05,272,80,176587,-678.5699999999999,0.0001,0.036522213369607925,269146
640,2205.285714285714,0.05,289,84,185244,-666.7161904761904,0.0001,0.03330804780125618,271310
635,2200.2613636363635,0.05,304,88,193623,-654.7518181818182,0.0001,0.03742893412709236,273405
629,2198.836956521739,0.05,321,92,202293,-646.3707608695653,0.0001,0.033732764422893524,275573
624,2196.96875,0.05,337,96,210909,-636.8944791666667,0.0001,0.03976791724562645,277727
619,2194.52,0.05,354,100,219452,-628.5753,0.0001,0.03318760171532631,279862
615,2188.36,0.05,370,104,228025,-605.7823999999999,0.0001,0.06000538542866707,282006
610,2183.14,0.05,387,108,236689,-582.6358999999999,0.0001,0.04102092236280441,284172
607,2176.24,0.05,403,112,245276,-559.2094999999999,0.0001,0.0328209288418293,286318
603,2171.32,0.05,420,116,253941,-535.3444000000001,0.0001,0.04670710116624832,288485
601,2167.1,0.05,436,120,262606,-511.4731,0.0001,0.06258229911327362,290651
597,2162.39,0.05,453,124,271090,-493.5999999999999,0.0001,0.05212567746639252,292772
