rollout/ep_rew_mean,rollout/exploration_rate,time/fps,time/total_timesteps,rollout/ep_len_mean,time/episodes,time/time_elapsed,train/n_updates,train/loss,train/learning_rate
-910.2675,0.9110325000000005,2241,9365,2341.25,4,4,,,
-907.65625,0.8227964999999997,1813,18653,2331.625,8,10,,,
-910.3958333333331,0.7351399999999999,1899,27880,2323.3333333333335,12,14,,,
-902.775625,0.647227,1793,37134,2320.875,16,20,,,
-908.243,0.5577085000000004,1816,46557,2327.85,20,25,,,
-879.3312500000001,0.47199949999999957,1391,55579,2315.7916666666665,24,39,476394,0.028085391968488693,0.0001
-833.1160714285716,0.3903755000000003,1092,64171,2291.8214285714284,28,58,478542,0.034957271069288254,0.0001
-793.706875,0.30750699999999986,948,72894,2277.9375,32,76,480723,0.012708420865237713,0.0001
-758.9930555555555,0.2255695000000001,850,81519,2264.4166666666665,36,95,482879,0.01782698556780815,0.0001
-733.33475,0.14152300000000062,801,90366,2259.15,40,112,485091,0.03793532773852348,0.0001
-709.8056818181818,0.05665949999999986,766,99299,2256.7954545454545,44,129,487324,0.028092900291085243,0.0001
-688.5910416666667,0.05,740,108275,2255.7291666666665,48,146,489568,0.020032284781336784,0.0001
-668.4325000000001,0.05,721,117017,2250.326923076923,52,162,491754,0.01778685301542282,0.0001
-647.4105357142859,0.05,703,125699,2244.625,56,178,493924,0.018905766308307648,0.0001
-632.1901666666669,0.05,687,134397,2239.95,60,195,496099,0.0161617249250412,0.0001
-617.72234375,0.05,674,143015,2234.609375,64,211,498253,0.03042643889784813,0.0001
-604.202794117647,0.05,659,151640,2230.0,68,229,500409,0.03640913963317871,0.0001
-591.2234722222222,0.05,651,160168,2224.5555555555557,72,246,502541,0.02501177415251732,0.0001
-580.812105263158,0.05,643,168791,2220.934210526316,76,262,504697,0.015412031672894955,0.0001
-570.3545,0.05,637,177428,2217.85,80,278,506856,0.033922240138053894,0.0001
-561.6286904761904,0.05,630,186186,2216.5,84,295,509046,0.03530673682689667,0.0001
-552.6160227272728,0.05,626,194801,2213.6477272727275,88,311,511200,0.0644831657409668,0.0001
-544.9731521739131,0.05,620,203428,2211.1739130434785,92,327,513356,0.03064710833132267,0.0001
-537.0629166666666,0.05,615,212004,2208.375,96,344,515500,0.01477828435599804,0.0001
-530.5018,0.05,610,220683,2206.83,100,361,517670,0.043467406183481216,0.0001
-508.2845,0.05,606,229355,2199.9,104,378,519838,0.023623302578926086,0.0001
-487.26310000000007,0.05,602,238068,2194.15,108,395,522016,0.04732075333595276,0.0001
-465.92390000000006,0.05,599,246809,2189.29,112,411,524202,0.028579093515872955,0.0001
-445.5346,0.05,595,255461,2183.27,116,428,526365,0.03650292381644249,0.0001
-422.9171,0.05,592,264133,2175.76,120,445,528533,0.02983587235212326,0.0001
-408.27189999999996,0.05,589,272786,2172.07,124,462,530696,0.036209553480148315,0.0001
-400.08009999999996,0.05,587,281392,2172.21,128,479,532847,0.03595970943570137,0.0001
-393.55400000000003,0.05,584,290011,2171.17,132,495,535002,0.020251139998435974,0.0001
-388.9977999999999,0.05,582,298609,2170.9,136,512,537152,0.0363016352057457,0.0001
-383.85170000000005,0.05,580,307290,2169.24,140,529,539322,0.02214852161705494,0.0001
-379.5437,0.05,578,316057,2167.58,144,546,541514,0.060650795698165894,0.0001
-375.9167999999999,0.05,576,324837,2165.62,148,562,543709,0.028904937207698822,0.0001
-374.0687,0.05,575,333498,2164.81,152,579,545874,0.03443088382482529,0.0001
-372.1804999999999,0.05,573,342051,2163.52,156,596,548012,0.023417480289936066,0.0001
-369.8122,0.05,572,350638,2162.41,160,612,550159,0.04082769528031349,0.0001
-367.54240000000004,0.05,570,359226,2162.11,164,629,552306,0.029957614839076996,0.0001
-365.9268,0.05,569,367757,2161.17,168,645,554439,0.03862737491726875,0.0001
-365.6785,0.05,567,376355,2161.87,172,662,556588,0.04203781858086586,0.0001
-364.9601,0.05,567,384976,2161.85,176,678,558743,0.03928500413894653,0.0001
-364.05189999999993,0.05,565,393584,2161.56,180,695,560895,0.019978368654847145,0.0001
-362.50140000000005,0.05,564,402180,2159.94,184,712,563044,0.021914459764957428,0.0001
-361.38470000000007,0.05,563,410741,2159.4,188,729,565185,0.020325632765889168,0.0001
-359.7327,0.05,562,419395,2159.67,192,745,567348,0.032418057322502136,0.0001
-360.2987000000001,0.05,561,428182,2161.78,196,762,569545,0.027990221977233887,0.0001
-359.23839999999996,0.05,560,436819,2161.36,200,779,571704,0.03484242409467697,0.0001
-358.71410000000003,0.05,559,445337,2159.82,204,795,573834,0.020939785987138748,0.0001
-357.0899,0.05,558,453914,2158.46,208,812,575978,0.01811525784432888,0.0001
-355.34039999999993,0.05,557,462558,2157.49,212,829,578139,0.025377005338668823,0.0001
-353.8262,0.05,557,471044,2155.83,216,845,580260,0.06107481196522713,0.0001
-352.6216999999999,0.05,556,479561,2154.28,220,861,582390,0.03307696804404259,0.0001
-352.13859999999994,0.05,555,488166,2153.8,224,878,584541,0.04415147751569748,0.0001
-350.88950000000006,0.05,555,496831,2154.39,228,894,586707,0.04177730903029442,0.0001
-351.4784,0.05,554,505644,2156.33,232,911,588910,0.038904011249542236,0.0001
-350.31780000000003,0.05,553,514322,2157.13,236,928,591080,0.04834556207060814,0.0001
-348.3675,0.05,553,522828,2155.38,240,945,593206,0.04369713366031647,0.0001
-347.32770000000005,0.05,552,531472,2154.15,244,961,595367,0.03392307087779045,0.0001
-345.86440000000005,0.05,552,540096,2152.59,248,978,597523,0.036806657910346985,0.0001
-343.8175,0.05,551,548664,2151.66,252,994,599665,0.04308044910430908,0.0001
-344.04049999999995,0.05,551,557219,2151.68,256,1011,601804,0.029462609440088272,0.0001
-343.57809999999995,0.05,550,565803,2151.65,260,1027,603950,0.04108352214097977,0.0001
-342.7112,0.05,550,574410,2151.84,264,1044,606102,0.020387772470712662,0.0001
-342.22950000000003,0.05,549,582892,2151.35,268,1060,608222,0.0450761578977108,0.0001
-340.82470000000006,0.05,549,591624,2152.69,272,1077,610405,0.027900608256459236,0.0001
-338.91600000000005,0.05,548,600201,2152.25,276,1093,612550,0.04318493604660034,0.0001
-338.5221000000001,0.05,548,608808,2152.24,280,1110,614701,0.031546320766210556,0.0001
-337.66489999999993,0.05,547,617347,2151.67,284,1127,616836,0.026892369613051414,0.0001
-338.3121,0.05,547,626204,2154.63,288,1143,619050,0.03338988870382309,0.0001
-337.3435999999999,0.05,546,634733,2153.38,292,1160,621183,0.03405994549393654,0.0001
-335.4712,0.05,546,643273,2150.91,296,1176,623318,0.053704023361206055,0.0001
-334.61600000000004,0.05,546,651790,2149.71,300,1193,625447,0.042442094534635544,0.0001
-334.8469000000001,0.05,545,660450,2151.13,304,1210,627612,0.030946725979447365,0.0001
-334.6396,0.05,545,668901,2149.87,308,1226,629725,0.017628716304898262,0.0001
-334.7106999999999,0.05,544,677399,2148.41,312,1243,631849,0.012448694556951523,0.0001
-333.82950000000005,0.05,544,685946,2149.02,316,1259,633986,0.0301237553358078,0.0001
-333.3379,0.05,544,694509,2149.48,320,1275,636127,0.046438928693532944,0.0001
-332.24010000000004,0.05,543,702978,2148.12,324,1292,638244,0.06292334198951721,0.0001
-332.3158,0.05,543,711611,2147.8,328,1308,640402,0.028899211436510086,0.0001
