rollout/exploration_rate,time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/episodes,train/n_updates,train/learning_rate,train/loss
0.9123435000000002,4,1898,-889.145,2306.75,9227,4,,,
0.8249340000000001,10,1760,-891.62,2303.5,18428,8,,,
0.7369545000000004,14,1871,-891.3466666666667,2307.4166666666665,27689,12,,,
0.6504759999999996,20,1761,-888.9975000000001,2299.5,36792,16,,,
0.5631804999999996,25,1792,-888.384,2299.05,45981,20,,,
0.4786685000000005,38,1414,-859.6008333333333,2286.5416666666665,54877,24,476219,0.0001,0.03390170633792877
0.3970825000000001,57,1099,-821.0642857142856,2266.6071428571427,63465,28,478366,0.0001,0.025015223771333694
0.3143944999999997,75,951,-786.0709375,2255.28125,72169,32,480542,0.0001,0.01602904126048088
0.23124100000000058,94,852,-754.5511111111111,2247.8333333333335,80922,36,482730,0.0001,0.04080269858241081
0.1481445,111,803,-728.1850000000001,2241.725,89669,40,484917,0.0001,0.030136696994304657
0.0665395000000002,127,768,-702.2868181818183,2233.159090909091,98259,44,487064,0.0001,0.0364883616566658
0.05,143,742,-679.3860416666666,2227.9583333333335,106942,48,489235,0.0001,0.017644383013248444
0.05,159,723,-660.0165384615385,2223.4615384615386,115620,52,491404,0.0001,0.032867856323719025
0.05,175,705,-641.12,2218.1964285714284,124219,56,493554,0.0001,0.02514020726084709
0.05,193,688,-625.6463333333335,2218.2,133092,60,495772,0.0001,0.02702385187149048
0.05,209,675,-610.56125,2215.9375,141820,64,497954,0.0001,0.017593270167708397
0.05,227,660,-598.3194117647058,2213.514705882353,150519,68,500129,0.0001,0.02418753132224083
0.05,244,651,-587.9081944444445,2212.0694444444443,159269,72,502317,0.0001,0.03821789100766182
0.05,260,643,-576.0892105263158,2208.842105263158,167872,76,504467,0.0001,0.026510195806622505
0.05,276,637,-566.854875,2206.5,176520,80,506629,0.0001,0.024064073339104652
0.05,293,630,-558.4182142857144,2204.309523809524,185162,84,508790,0.0001,0.021008042618632317
0.05,309,626,-549.0179545454545,2201.625,193743,88,510935,0.0001,0.025103436782956123
0.05,326,620,-541.6929347826087,2199.271739130435,202333,92,513083,0.0001,0.01856195367872715
0.05,342,616,-534.1610416666666,2197.0833333333335,210920,96,515229,0.0001,0.014689642935991287
0.05,359,610,-528.1636,2196.58,219658,100,517414,0.0001,0.49633803963661194
0.05,376,606,-506.6129000000001,2191.85,228412,104,519602,0.0001,0.02433156594634056
0.05,393,601,-485.43930000000006,2184.79,236907,108,521726,0.0001,0.021343961358070374
0.05,409,599,-463.6415,2177.81,245470,112,523867,0.0001,0.028332725167274475
0.05,426,595,-442.2419000000001,2172.45,254037,116,526009,0.0001,0.03252115473151207
0.05,443,592,-421.5665,2167.7,262751,120,528187,0.0001,0.04166381061077118
0.05,460,589,-407.1265,2164.21,271298,124,530324,0.0001,0.020946864038705826
0.05,476,587,-397.23980000000006,2164.65,279930,128,532482,0.0001,0.023689333349466324
0.05,493,584,-390.0365,2166.31,288800,132,534699,0.0001,0.06167018413543701
