time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/fps,time/episodes,rollout/exploration_rate,rollout/ep_rew_mean,train/loss,train/learning_rate,train/n_updates
9136,2284.0,5,1766,4,0.9132079999999997,-872.655,,,
18343,2292.875,10,1764,8,0.8257415,-878.03375,,,
27476,2289.6666666666665,15,1799,12,0.7389779999999995,-876.5191666666666,,,
36649,2290.5625,21,1744,16,0.6518344999999997,-876.860625,,,
45705,2285.25,25,1767,20,0.5658025000000001,-873.2465000000002,,,
54761,2281.7083333333335,39,1400,24,0.47977050000000054,-851.6491666666667,0.042749736458063126,0.0001,476190
63482,2267.214285714286,58,1094,28,0.39692099999999975,-813.6410714285714,0.03397040069103241,0.0001,478370
72287,2258.96875,76,943,32,0.3132735000000002,-781.06125,0.015257107093930244,0.0001,480571
81022,2250.6111111111113,95,849,36,0.2302909999999997,-750.1055555555554,0.02875792793929577,0.0001,482755
89825,2245.625,112,799,40,0.14666249999999958,-724.03125,0.01739157736301422,0.0001,484956
98701,2243.2045454545455,128,766,44,0.0623404999999998,-697.9418181818181,0.021719105541706085,0.0001,487175
107410,2237.7083333333335,144,741,48,0.05,-674.3841666666667,0.01896391250193119,0.0001,489352
116073,2232.173076923077,160,721,52,0.05,-654.5038461538461,0.030638590455055237,0.0001,491518
124617,2225.3035714285716,177,703,56,0.05,-634.6932142857144,0.026084667071700096,0.0001,493654
133282,2221.366666666667,193,688,60,0.05,-618.2408333333335,0.01877332292497158,0.0001,495820
141967,2218.234375,210,675,64,0.05,-604.5209375,0.024848956614732742,0.0001,497991
150620,2215.0,228,660,68,0.05,-591.2598529411763,0.01677471213042736,0.0001,500154
159430,2214.3055555555557,244,650,72,0.05,-579.4608333333333,0.024733535945415497,0.0001,502357
168046,2211.1315789473683,261,643,76,0.05,-569.1590789473685,0.025140516459941864,0.0001,504511
176668,2208.35,277,637,80,0.05,-559.1921249999999,0.020336266607046127,0.0001,506666
185434,2207.5476190476193,294,630,84,0.05,-551.2675,0.032939620316028595,0.0001,508858
194056,2205.181818181818,309,626,88,0.05,-543.1392045454545,0.019358215853571892,0.0001,511013
202657,2202.7934782608695,326,620,92,0.05,-535.1426086956523,0.012035494670271873,0.0001,513164
211333,2201.3854166666665,343,615,96,0.05,-528.4483333333334,0.022707942873239517,0.0001,515333
220070,2200.7,360,610,100,0.05,-522.5796,0.021739229559898376,0.0001,517517
228682,2195.46,377,606,104,0.05,-501.6068000000001,0.04105032980442047,0.0001,519670
237262,2189.19,394,602,108,0.05,-480.54690000000005,0.048881761729717255,0.0001,521815
245853,2183.77,410,599,112,0.05,-459.66739999999993,0.020083654671907425,0.0001,523963
254523,2178.74,427,595,116,0.05,-439.1822,0.03400338813662529,0.0001,526130
263136,2174.31,443,592,120,0.05,-418.9436,0.01893189176917076,0.0001,528283
271745,2169.84,460,589,124,0.05,-403.9722000000001,0.025517545640468597,0.0001,530436
280281,2167.99,477,587,128,0.05,-393.9975999999999,0.0469314344227314,0.0001,532570
288884,2165.97,493,584,132,0.05,-385.888,0.030002418905496597,0.0001,534720
297494,2164.72,510,582,136,0.05,-379.62229999999994,0.034361034631729126,0.0001,536873
306202,2163.77,527,580,140,0.05,-374.0425,0.024233413860201836,0.0001,539050
314933,2162.32,544,578,144,0.05,-370.8105999999999,0.030589664354920387,0.0001,541233
323486,2160.76,560,577,148,0.05,-367.7250999999999,0.031685974448919296,0.0001,543371
331977,2159.04,576,575,152,0.05,-364.7711000000001,0.04889202490448952,0.0001,545494
340517,2159.0,593,574,156,0.05,-363.9084,0.024794699624180794,0.0001,547629
349125,2158.43,609,572,160,0.05,-362.61080000000004,0.02746354602277279,0.0001,549781
357741,2157.74,626,571,164,0.05,-361.24910000000006,0.04138416424393654,0.0001,551935
366335,2157.15,642,569,168,0.05,-360.83410000000003,0.028187911957502365,0.0001,554083
374816,2153.86,659,568,172,0.05,-358.8140999999999,0.04642343521118164,0.0001,556203
383422,2153.76,675,567,176,0.05,-357.9793,0.02635897696018219,0.0001,558355
392042,2153.74,692,565,180,0.05,-356.1241999999999,0.02123299613595009,0.0001,560510
400667,2152.33,709,565,184,0.05,-354.86889999999994,0.019092047587037086,0.0001,562666
409476,2154.2,726,563,188,0.05,-353.76929999999993,0.023135308176279068,0.0001,564868
417929,2152.72,742,562,192,0.05,-352.6894,0.0373348742723465,0.0001,566982
426504,2151.71,759,561,196,0.05,-350.64060000000006,0.022378796711564064,0.0001,569125
435125,2150.55,775,561,200,0.05,-349.6452,0.031313344836235046,0.0001,571281
443751,2150.69,792,559,204,0.05,-348.82179999999994,0.04062002897262573,0.0001,573437
452474,2152.12,809,559,208,0.05,-348.71049999999997,0.03527894243597984,0.0001,575618
460942,2150.89,825,558,212,0.05,-348.04549999999995,0.019583959132432938,0.0001,577735
469515,2149.92,842,557,216,0.05,-346.3603,0.020933818072080612,0.0001,579878
478239,2151.03,858,556,220,0.05,-346.0306999999999,0.016580447554588318,0.0001,582059
487018,2152.73,875,556,224,0.05,-345.506,0.026790320873260498,0.0001,584254
495654,2153.73,892,555,228,0.05,-345.7225,0.5188300013542175,0.0001,586413
504327,2154.43,908,554,232,0.05,-345.3305999999999,0.036255110055208206,0.0001,588581
512915,2154.21,925,554,236,0.05,-345.58359999999993,0.02663951925933361,0.0001,590728
521445,2152.43,942,553,240,0.05,-345.4803,0.030957112088799477,0.0001,592861
530020,2150.87,958,553,244,0.05,-344.53549999999996,0.03254954516887665,0.0001,595004
