rollout/ep_rew_mean,time/fps,time/total_timesteps,time/time_elapsed,rollout/exploration_rate,rollout/ep_len_mean,time/episodes,train/learning_rate,train/loss,train/n_updates
-1192.8225,55,9109,163,0.9134644999999997,2277.25,4,,,
-1205.18875,54,18370,337,0.825485,2296.25,8,,,
-1212.6366666666668,51,27727,534,0.7365934999999995,2310.5833333333335,12,,,
-1209.0149999999999,50,36898,730,0.6494690000000002,2306.125,16,,,
-1210.8049999999998,49,46191,931,0.5611855000000002,2309.55,20,,,
-1139.8983333333333,48,55086,1126,0.4766830000000004,2295.25,24,0.0001,0.10076823830604553,713771
-1036.3535714285713,48,63714,1320,0.39471699999999965,2275.5,28,0.0001,0.05722958967089653,715928
-947.729375,47,72294,1516,0.31320700000000035,2259.1875,32,0.0001,0.0815575122833252,718073
-869.2622222222221,47,80846,1710,0.23196300000000025,2245.722222222222,36,0.0001,0.04930870234966278,720211
-801.331,46,89362,1902,0.15106100000000067,2234.05,40,0.0001,0.044169068336486816,722340
-741.0261363636365,46,97931,2100,0.06965550000000009,2225.7045454545455,44,0.0001,0.5255783200263977,724482
-689.426875,46,106551,2297,0.05,2219.8125,48,0.0001,0.44228726625442505,726637
-644.6217307692307,46,114914,2485,0.05,2209.8846153846152,52,0.0001,0.11243726313114166,728728
-605.52625,46,123396,2674,0.05,2203.5,56,0.0001,0.047562114894390106,730848
-572.4031666666666,45,131859,2869,0.05,2197.65,60,0.0001,0.0723910853266716,732964
-543.94890625,45,140395,3061,0.05,2193.671875,64,0.0001,0.07380343973636627,735098
-518.0426470588236,45,148912,3252,0.05,2189.8823529411766,68,0.0001,0.06462004780769348,737227
-495.38277777777773,45,157546,3445,0.05,2188.1388888888887,72,0.0001,0.061357300728559494,739386
-475.20828947368415,45,166184,3639,0.05,2186.6315789473683,76,0.0001,0.0591442808508873,741545
-456.492375,45,174690,3830,0.05,2183.625,80,0.0001,0.05482025071978569,743672
-439.16964285714295,45,183321,4029,0.05,2182.3928571428573,84,0.0001,0.10010616481304169,745830
-424.09375,45,191862,4223,0.05,2180.25,88,0.0001,0.046308137476444244,747965
-410.3178260869565,45,200411,4416,0.05,2178.3804347826085,92,0.0001,0.043253619223833084,750102
-397.56177083333336,45,208946,4611,0.05,2176.5208333333335,96,0.0001,0.11134294420480728,752236
-386.4762,45,217480,4805,0.05,2174.8,100,0.0001,0.06943638622760773,754369
-343.6577,45,226100,5002,0.05,2169.91,104,0.0001,0.05560328811407089,756524
-298.5733,45,234616,5193,0.05,2162.46,108,0.0001,0.05654270201921463,758653
-252.91000000000003,45,243138,5386,0.05,2154.11,112,0.0001,0.05129995197057724,760784
-208.84129999999996,45,251640,5579,0.05,2147.42,116,0.0001,0.05550194904208183,762909
-164.40619999999998,45,260022,5770,0.05,2138.31,120,0.0001,0.06438086181879044,765005
-136.8028,45,268478,5961,0.05,2133.92,124,0.0001,0.05073946714401245,767119
-124.53030000000003,45,276907,6151,0.05,2131.93,128,0.0001,0.050392985343933105,769226
-115.1192,44,285401,6344,0.05,2131.07,132,0.0001,0.07489414513111115,771350
-108.90099999999998,44,293811,6533,0.05,2129.65,136,0.0001,0.047118429094552994,773452
-104.74339999999998,44,302247,6721,0.05,2128.85,140,0.0001,0.08319105207920074,775561
-103.62559999999999,44,310776,6914,0.05,2128.45,144,0.0001,0.05171452462673187,777693
-102.19780000000003,44,319314,7108,0.05,2127.63,148,0.0001,0.045253586024045944,779828
-102.14679999999998,44,327877,7303,0.05,2129.63,152,0.0001,0.07443508505821228,781969
-101.46530000000001,44,336319,7496,0.05,2129.23,156,0.0001,0.0359838493168354,784079
-100.99220000000001,44,344884,7692,0.05,2130.25,160,0.0001,0.055210284888744354,786220
-100.3574,44,353420,7885,0.05,2130.25,164,0.0001,0.05344158411026001,788354
-99.86809999999997,44,361980,8077,0.05,2130.68,168,0.0001,0.021617542952299118,790494
-98.78410000000002,44,370424,8272,0.05,2128.78,172,0.0001,0.05477718636393547,792605
-97.77989999999998,44,378869,8460,0.05,2126.85,176,0.0001,0.06350560486316681,794717
-96.64020000000001,44,387447,8656,0.05,2127.57,180,0.0001,0.0563606396317482,796861
-95.96369999999999,44,395815,8847,0.05,2124.94,184,0.0001,0.09150590747594833,798953
-95.99169999999998,44,404355,9038,0.05,2124.93,188,0.0001,0.01667744107544422,801088
-94.84920000000002,44,412902,9234,0.05,2124.91,192,0.0001,0.04355699196457863,803225
-93.42650000000002,44,421358,9426,0.05,2124.12,196,0.0001,0.07372027635574341,805339
-92.21590000000002,44,429850,9620,0.05,2123.7,200,0.0001,0.06030853092670441,807462
-91.0474,44,438468,9817,0.05,2123.68,204,0.0001,0.07916848361492157,809616
-91.09369999999998,44,447151,10015,0.05,2125.35,208,0.0001,0.04951805621385574,811787
-91.58759999999998,44,455615,10206,0.05,2124.77,212,0.0001,0.09450230002403259,813903
-91.3022,44,464102,10400,0.05,2124.62,216,0.0001,0.03178988769650459,816025
-90.0182,44,472736,10595,0.05,2127.14,220,0.0001,0.028895128518342972,818183
-89.8,44,481261,10791,0.05,2127.83,224,0.0001,0.04053136706352234,820315
-88.8797,44,489867,10988,0.05,2129.6,228,0.0001,0.020438198000192642,822466
-88.36649999999997,44,498412,11186,0.05,2130.11,232,0.0001,0.018382936716079712,824602
-88.0705,44,506824,11374,0.05,2130.13,236,0.0001,0.04329215735197067,826705
-87.6483,44,515402,11572,0.05,2131.55,240,0.0001,0.0454392209649086,828850
-86.3945,44,523840,11763,0.05,2130.64,244,0.0001,0.07112228870391846,830959
-85.66789999999999,44,532388,11955,0.05,2130.74,248,0.0001,0.08786880970001221,833096
-85.03499999999998,44,540847,12149,0.05,2129.7,252,0.0001,0.06332521885633469,835211
-85.29459999999999,44,549427,12341,0.05,2131.08,256,0.0001,0.07413595914840698,837356
-86.6434,44,558381,12551,0.05,2134.97,260,0.0001,0.0437999963760376,839595
-86.71179999999998,44,567115,12748,0.05,2136.95,264,0.0001,0.12480831146240234,841778
-86.7617,44,575579,12941,0.05,2135.99,268,0.0001,0.02538299560546875,843894
-87.16590000000001,44,584230,13137,0.05,2138.06,272,0.0001,0.030551398172974586,846057
-86.7538,44,592789,13336,0.05,2139.2,276,0.0001,0.06108532473444939,848197
-87.61889999999998,44,601353,13531,0.05,2139.06,280,0.0001,0.024735011160373688,850338
-87.50130000000001,44,609895,13725,0.05,2140.8,284,0.0001,0.03830001503229141,852473
-86.89280000000001,44,618375,13918,0.05,2140.2,288,0.0001,0.07342077791690826,854593
-86.56179999999996,44,626967,14115,0.05,2140.65,292,0.0001,0.04212939739227295,856741
-87.64739999999998,44,635427,14308,0.05,2140.69,296,0.0001,0.0334845632314682,858856
-87.4012,44,643886,14499,0.05,2140.36,300,0.0001,0.03616369515657425,860971
-86.93060000000001,44,652544,14698,0.05,2140.76,304,0.0001,0.03870189189910889,863135
-86.85549999999999,44,660992,14887,0.05,2138.41,308,0.0001,0.06314928829669952,865247
-85.45720000000001,44,669508,15079,0.05,2138.93,312,0.0001,0.0699274092912674,867376
-85.43730000000001,44,678001,15271,0.05,2138.99,316,0.0001,0.06167344003915787,869500
-86.08499999999998,44,686637,15467,0.05,2139.01,320,0.0001,0.06537897139787674,871659
-85.52,44,695429,15667,0.05,2141.68,324,0.0001,0.03823098540306091,873857
-85.15109999999999,44,703945,15858,0.05,2140.78,328,0.0001,0.09242014586925507,875986
-85.3407,44,712494,16055,0.05,2140.82,332,0.0001,0.03172323480248451,878123
-85.0143,44,720898,16245,0.05,2140.74,336,0.0001,0.020090525969862938,880224
-85.5996,44,729401,16436,0.05,2139.99,340,0.0001,0.031183548271656036,882350
-85.73089999999998,44,738079,16637,0.05,2142.39,344,0.0001,0.03411951661109924,884519
-85.95390000000003,44,746613,16833,0.05,2142.25,348,0.0001,0.06314947456121445,886653
-85.9307,44,755120,17026,0.05,2142.73,352,0.0001,0.0571274533867836,888779
-86.7096,44,763673,17218,0.05,2142.46,356,0.0001,0.07093007117509842,890918
-84.5864,44,772228,17415,0.05,2138.47,360,0.0001,0.059537120163440704,893056
-84.62880000000001,44,780846,17616,0.05,2137.31,364,0.0001,0.029094280675053596,895211
-83.46619999999999,44,789388,17810,0.05,2138.09,368,0.0001,0.040653929114341736,897346
-83.4249,44,797999,18007,0.05,2137.69,372,0.0001,0.08122768998146057,899499
-83.23140000000001,44,806455,18201,0.05,2136.66,376,0.0001,0.08038437366485596,901613
-83.0616,44,815030,18397,0.05,2136.77,380,0.0001,0.04977969080209732,903757
-83.44779999999999,44,823626,18596,0.05,2137.31,384,0.0001,0.048892777413129807,905906
-82.70100000000001,44,832233,18792,0.05,2138.58,388,0.0001,0.06107102334499359,908058
-83.1998,44,840799,18987,0.05,2138.32,392,0.0001,0.04503903537988663,910199
-83.21520000000001,44,849504,19190,0.05,2140.77,396,0.0001,0.05995066463947296,912375
-82.8686,44,857912,19382,0.05,2140.26,400,0.0001,0.07760240137577057,914477
-82.83179999999999,44,866478,19575,0.05,2139.34,404,0.0001,0.05392712354660034,916619
-82.9291,44,875007,19769,0.05,2140.15,408,0.0001,0.018341323360800743,918751
-83.66089999999998,44,883540,19963,0.05,2140.32,412,0.0001,0.028486374765634537,920884
-83.38359999999999,44,892148,20159,0.05,2141.47,416,0.0001,0.08557785302400589,923036
-82.54879999999999,44,900754,20358,0.05,2141.17,420,0.0001,0.041221704334020615,925188
-82.43459999999999,44,909281,20552,0.05,2138.52,424,0.0001,0.03895867243409157,927320
-82.78490000000002,44,917830,20748,0.05,2138.85,428,0.0001,0.037489041686058044,929457
-82.65979999999999,44,926215,20935,0.05,2137.21,432,0.0001,0.05344146490097046,931553
-82.4175,44,934634,21127,0.05,2137.36,436,0.0001,0.02808740921318531,933658
-81.5649,44,943154,21325,0.05,2137.53,440,0.0001,0.05116363614797592,935788
-81.5846,44,951649,21520,0.05,2135.7,444,0.0001,0.03096926398575306,937912
-81.7081,44,960337,21717,0.05,2137.24,448,0.0001,0.04030799865722656,940084
-80.6332,44,968764,21908,0.05,2136.44,452,0.0001,0.06472871452569962,942190
-79.5895,44,977274,22100,0.05,2136.01,456,0.0001,0.04853465035557747,944318
-79.34079999999999,44,985797,22294,0.05,2135.69,460,0.0001,0.05148988217115402,946449
-77.98849999999999,44,994232,22484,0.05,2133.86,464,0.0001,0.023253625258803368,948557
