rollout/ep_len_mean,time/episodes,time/total_timesteps,rollout/exploration_rate,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/n_updates,train/learning_rate,train/loss
2299.0,4,9196,0.9126380000000002,-1201.8225,53,171,,,
2322.875,8,18583,0.8234614999999998,-1218.1287499999999,51,363,,,
2325.5833333333335,12,27907,0.7348834999999999,-1223.555,49,565,,,
2329.375,16,37270,0.6459349999999998,-1230.540625,48,767,,,
2320.85,20,46417,0.5590384999999997,-1226.344,48,964,,,
2297.125,24,55131,0.4762554999999996,-1146.5841666666668,47,1156,713782,0.0001,0.5973790884017944
2275.714285714286,28,63720,0.39466,-1038.9739285714286,47,1353,715929,0.0001,0.061257898807525635
2253.59375,32,72115,0.3149074999999997,-949.3065624999999,46,1540,718028,0.0001,0.0604340098798275
2242.1111111111113,36,80716,0.23319800000000002,-874.5802777777777,46,1737,720178,0.0001,0.07336500287055969
2234.375,40,89375,0.15093750000000028,-805.7625,46,1934,722343,0.0001,0.039213135838508606
2224.1363636363635,44,97862,0.07031100000000012,-744.6440909090908,45,2127,724465,0.0001,0.04697218909859657
2215.9166666666665,48,106364,0.05,-692.3552083333334,45,2320,726590,0.0001,0.05345655977725983
2209.4423076923076,52,114891,0.05,-648.0648076923078,45,2511,728722,0.0001,0.028013255447149277
2202.9285714285716,56,123364,0.05,-608.7669642857143,45,2703,730840,0.0001,0.06409995257854462
2198.55,60,131913,0.05,-574.0668333333332,45,2897,732978,0.0001,0.07737628370523453
2193.640625,64,140393,0.05,-544.44,45,3085,735098,0.0001,0.08865326642990112
2188.6617647058824,68,148829,0.05,-517.8444117647059,45,3273,737207,0.0001,0.15209504961967468
2183.6111111111113,72,157220,0.05,-493.27902777777774,45,3463,739304,0.0001,0.045652758330106735
2179.815789473684,76,165666,0.05,-472.18499999999995,45,3655,741416,0.0001,0.0658254399895668
2178.3875,80,174271,0.05,-454.0255,45,3851,743567,0.0001,0.05370666831731796
2176.8214285714284,84,182853,0.05,-436.99976190476195,45,4049,745713,0.0001,0.06330370903015137
2174.0795454545455,88,191319,0.05,-421.9021590909091,45,4241,747829,0.0001,0.028520451858639717
2172.2934782608695,92,199851,0.05,-407.5815217391305,45,4434,749962,0.0001,0.08833993971347809
2169.78125,96,208299,0.05,-394.60718749999995,45,4624,752074,0.0001,0.043876733630895615
2167.29,100,216729,0.05,-382.5336999999999,45,4813,754182,0.0001,0.03676585853099823
2158.04,104,225000,0.05,-338.2072,45,4995,756249,0.0001,0.07452015578746796
2148.68,108,233451,0.05,-292.6123,45,5186,758362,0.0001,0.0911719799041748
2141.64,112,242071,0.05,-246.60539999999997,44,5381,760517,0.0001,0.025824379175901413
2131.93,116,250463,0.05,-200.41339999999997,44,5568,762615,0.0001,0.07407255470752716
2124.5,120,258867,0.05,-155.5513,44,5758,764716,0.0001,0.06647932529449463
2123.22,124,267453,0.05,-129.04440000000002,44,5955,766863,0.0001,0.08683781325817108
2123.81,128,276101,0.05,-116.64120000000001,44,6151,769025,0.0001,0.09789572656154633
2125.88,132,284703,0.05,-106.83010000000002,44,6345,771175,0.0001,0.03785886988043785
2124.37,136,293153,0.05,-99.3373,44,6537,773288,0.0001,0.06863177567720413
2123.48,140,301723,0.05,-95.2543,44,6732,775430,0.0001,0.04060324653983116
2124.02,144,310264,0.05,-93.3399,44,6930,777565,0.0001,0.04629850015044212
2122.87,148,318651,0.05,-92.31819999999999,44,7119,779662,0.0001,0.03176286444067955
2121.78,152,327069,0.05,-90.98809999999999,44,7310,781767,0.0001,0.058140046894550323
2121.6,156,335524,0.05,-91.2233,44,7500,783880,0.0001,0.05857676640152931
2120.91,160,344004,0.05,-91.37830000000002,44,7691,786000,0.0001,0.03838542103767395
2122.32,164,352625,0.05,-90.58200000000001,44,7889,788156,0.0001,0.12269334495067596
2121.61,168,360990,0.05,-91.11149999999998,44,8076,790247,0.0001,0.048590779304504395
2122.77,172,369497,0.05,-91.76089999999998,44,8271,792374,0.0001,0.05208173394203186
2123.04,176,377970,0.05,-91.69579999999998,44,8461,794492,0.0001,0.04571278393268585
2121.69,180,386440,0.05,-90.5584,44,8652,796609,0.0001,0.382485568523407
2121.21,184,394974,0.05,-89.68969999999999,44,8847,798743,0.0001,0.040674690157175064
2122.32,188,403551,0.05,-89.4198,44,9041,800887,0.0001,0.03869784623384476
2121.83,192,412034,0.05,-89.82919999999999,44,9233,803008,0.0001,0.0966978520154953
2121.58,196,420457,0.05,-89.63869999999999,44,9424,805114,0.0001,0.0334070585668087
2122.22,200,428951,0.05,-89.95019999999998,44,9619,807237,0.0001,0.10962267220020294
2124.35,204,437435,0.05,-89.26640000000003,44,9813,809358,0.0001,0.11121717095375061
2124.33,208,445884,0.05,-89.0179,44,10004,811470,0.0001,0.0626220852136612
2122.13,212,454284,0.05,-88.96950000000001,44,10195,813570,0.0001,0.03760051727294922
2121.78,216,462641,0.05,-88.51129999999999,44,10383,815660,0.0001,0.09879593551158905
2122.44,220,471111,0.05,-87.80109999999999,44,10575,817777,0.0001,0.03824003413319588
2121.88,224,479641,0.05,-88.1174,44,10766,819910,0.0001,0.0781545415520668
2120.46,228,488147,0.05,-88.29899999999999,44,10959,822036,0.0001,0.035275258123874664
2119.85,232,496688,0.05,-88.78469999999999,44,11155,824171,0.0001,0.04890728369355202
2120.81,236,505234,0.05,-88.3471,44,11348,826308,0.0001,0.07239167392253876
2122.32,240,513955,0.05,-88.97239999999998,44,11545,828488,0.0001,0.039771273732185364
2122.25,244,522489,0.05,-88.189,44,11741,830622,0.0001,0.04400179535150528
2121.84,248,530835,0.05,-87.4287,44,11927,832708,0.0001,0.05354674160480499
2123.01,252,539370,0.05,-87.2677,44,12120,834842,0.0001,0.05701831355690956
2124.34,256,547958,0.05,-86.2868,44,12313,836989,0.0001,0.08799650520086288
2124.51,260,556455,0.05,-85.85679999999998,44,12506,839113,0.0001,0.07707322388887405
2123.42,264,564967,0.05,-85.52550000000001,44,12700,841241,0.0001,0.05976647511124611
2125.13,268,573503,0.05,-84.1664,44,12894,843375,0.0001,0.03548748046159744
2124.99,272,581996,0.05,-83.9841,44,13089,845498,0.0001,0.060441754758358
2124.6,276,590430,0.05,-83.8392,44,13282,847607,0.0001,0.03624795377254486
2123.84,280,598824,0.05,-83.9137,44,13473,849705,0.0001,0.022989381104707718
2123.23,284,607297,0.05,-83.65359999999998,44,13665,851824,0.0001,0.0741201862692833
2122.48,288,615799,0.05,-82.61239999999998,44,13857,853949,0.0001,0.033920858055353165
2122.96,292,624330,0.05,-81.78960000000001,44,14054,856082,0.0001,0.020795907825231552
2123.55,296,632812,0.05,-81.16869999999999,44,14248,858202,0.0001,0.08855993300676346
2123.31,300,641282,0.05,-80.16709999999999,44,14444,860320,0.0001,0.053728193044662476
2124.4,304,649875,0.05,-80.5351,44,14639,862468,0.0001,0.0316469743847847
2124.67,308,658351,0.05,-80.6977,44,14831,864587,0.0001,0.08295291662216187
2126.56,312,666940,0.05,-81.2833,44,15027,866734,0.0001,0.08108827471733093
2127.44,316,675385,0.05,-81.2228,44,15219,868846,0.0001,0.053684912621974945
2127.31,320,683842,0.05,-81.8352,44,15410,870960,0.0001,0.027802692726254463
2126.52,324,692293,0.05,-80.661,44,15598,873073,0.0001,0.07955463230609894
2126.3,328,700777,0.05,-79.9939,44,15788,875194,0.0001,0.029575809836387634
2125.31,332,709219,0.05,-79.9281,44,15978,877304,0.0001,0.04846794903278351
2126.18,336,717852,0.05,-80.2264,44,16173,879462,0.0001,0.021908121183514595
2123.23,340,726278,0.05,-79.6464,44,16361,881569,0.0001,0.3234787881374359
2122.97,344,734786,0.05,-80.0217,44,16557,883696,0.0001,0.056775934994220734
2125.74,348,743409,0.05,-79.991,44,16755,885852,0.0001,0.024181965738534927
2125.49,352,751919,0.05,-79.59159999999999,44,16948,887979,0.0001,0.02090614289045334
2125.17,356,760475,0.05,-79.79309999999998,44,17139,890118,0.0001,0.07817643135786057
2126.39,360,769094,0.05,-79.6254,44,17338,892273,0.0001,0.04467633366584778
2125.69,364,777536,0.05,-79.445,44,17531,894383,0.0001,0.012449044734239578
2126.61,368,786164,0.05,-79.4889,44,17726,896540,0.0001,0.034162841737270355
2125.48,372,794544,0.05,-78.469,44,17916,898635,0.0001,0.0714992955327034
2126.92,376,803122,0.05,-78.2123,44,18111,900780,0.0001,0.03518702834844589
2127.68,380,811592,0.05,-78.267,44,18303,902897,0.0001,0.02328428626060486
2128.68,384,820165,0.05,-79.10079999999999,44,18497,905041,0.0001,0.041916124522686005
2127.33,388,828532,0.05,-79.00900000000001,44,18684,907132,0.0001,0.07142862677574158
2127.25,392,837055,0.05,-78.3721,44,18878,909263,0.0001,0.035004809498786926
2128.23,396,845635,0.05,-78.4777,44,19074,911408,0.0001,0.028023576363921165
