rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,rollout/exploration_rate,time/fps,rollout/ep_len_mean,time/episodes,train/learning_rate,train/loss,train/n_updates
-1234.04,9295,174,0.9116974999999995,53,2323.75,4,,,
-1213.54125,18374,358,0.825447,51,2296.75,8,,,
-1215.8541666666667,27656,563,0.7372679999999999,49,2304.6666666666665,12,,,
-1214.653125,36933,762,0.6491365,48,2308.3125,16,,,
-1214.2465000000002,46109,963,0.5619645000000004,47,2305.45,20,,,
-1138.9270833333333,54807,1153,0.4793334999999995,47,2283.625,24,0.0001,0.10841933637857437,713701
-1035.7089285714287,63397,1345,0.3977284999999997,47,2264.1785714285716,28,0.0001,0.12643283605575562,715849
-949.834375,72065,1543,0.31538249999999957,46,2252.03125,32,0.0001,0.09135293960571289,718016
-871.4441666666667,80566,1735,0.2346229999999998,46,2237.9444444444443,36,0.0001,0.035734839737415314,720141
-804.1419999999999,89205,1931,0.1525525000000002,46,2230.125,40,0.0001,0.04272022470831871,722301
-744.1697727272726,97660,2123,0.07223000000000035,45,2219.5454545454545,44,0.0001,0.07283823192119598,724414
-692.6795833333332,106343,2319,0.05,45,2215.4791666666665,48,0.0001,0.07390895485877991,726585
-645.7878846153845,114897,2510,0.05,45,2209.5576923076924,52,0.0001,0.0784873515367508,728724
-606.9303571428571,123313,2701,0.05,45,2202.0178571428573,56,0.0001,0.04959249496459961,730828
-573.2363333333334,131847,2894,0.05,45,2197.45,60,0.0001,0.06760953366756439,732961
-543.4475,140428,3088,0.05,45,2194.1875,64,0.0001,0.03384406864643097,735106
-518.5257352941177,149122,3283,0.05,45,2192.970588235294,68,0.0001,0.055438317358493805,737280
-496.8175,157725,3476,0.05,45,2190.625,72,0.0001,0.053564511239528656,739431
-476.0186842105263,166104,3663,0.05,45,2185.5789473684213,76,0.0001,0.06197826936841011,741525
-459.2166249999999,174699,3859,0.05,45,2183.7375,80,0.0001,0.11521941423416138,743674
-441.95452380952383,183181,4059,0.05,45,2180.7261904761904,84,0.0001,0.0440896600484848,745795
-426.5174999999999,191697,4251,0.05,45,2178.375,88,0.0001,0.07666443288326263,747924
-412.72369565217394,200181,4444,0.05,45,2175.8804347826085,92,0.0001,0.0788971558213234,750045
-399.2819791666666,208756,4642,0.05,44,2174.5416666666665,96,0.0001,0.07422731071710587,752188
-387.7673999999999,217154,4833,0.05,44,2171.54,100,0.0001,0.045983776450157166,754288
-343.53829999999994,225698,5029,0.05,44,2164.03,104,0.0001,0.0913829505443573,756424
-299.702,234429,5230,0.05,44,2160.55,108,0.0001,0.03352063149213791,758607
-254.97189999999998,243172,5428,0.05,44,2155.16,112,0.0001,0.06714712828397751,760792
-210.5603,251740,5619,0.05,44,2148.07,116,0.0001,0.09058716148138046,762934
-166.33030000000002,260242,5816,0.05,44,2141.33,120,0.0001,0.061491064727306366,765060
-140.00400000000002,268795,6009,0.05,44,2139.88,124,0.0001,0.07586881518363953,767198
-127.5686,277165,6201,0.05,44,2137.68,128,0.0001,0.06747382879257202,769291
-117.3032,285625,6391,0.05,44,2135.6,132,0.0001,0.03742396831512451,771406
-111.4795,294140,6582,0.05,44,2135.74,136,0.0001,0.06304837763309479,773534
-107.4047,302645,6776,0.05,44,2134.4,140,0.0001,0.07679709047079086,775661
-105.2262,311145,6966,0.05,44,2134.85,144,0.0001,0.10591510683298111,777786
-103.59990000000002,319686,7160,0.05,44,2133.43,148,0.0001,0.046894900500774384,779921
-103.43979999999998,328309,7356,0.05,44,2134.12,152,0.0001,0.033654455095529556,782077
-102.6259,336752,7546,0.05,44,2134.39,156,0.0001,0.044557951390743256,784187
-102.09339999999999,345224,7737,0.05,44,2133.77,160,0.0001,0.06624121218919754,786305
-102.18910000000004,353708,7929,0.05,44,2132.8,164,0.0001,0.09397972375154495,788426
-100.46979999999999,362175,8120,0.05,44,2130.53,168,0.0001,0.020739765837788582,790543
-98.69779999999999,370579,8310,0.05,44,2128.54,172,0.0001,0.03852435201406479,792644
-97.5888,379019,8500,0.05,44,2129.15,176,0.0001,0.09552422910928726,794754
-96.71190000000003,387572,8694,0.05,44,2128.73,180,0.0001,0.05388498306274414,796892
-97.54799999999999,396062,8884,0.05,44,2128.81,184,0.0001,0.3612219989299774,799015
-97.09260000000002,404531,9075,0.05,44,2128.34,188,0.0001,0.056605949997901917,801132
-96.8942,413040,9269,0.05,44,2128.59,192,0.0001,0.058897465467453,803259
-96.20370000000003,421529,9463,0.05,44,2127.73,196,0.0001,0.06206144765019417,805382
-96.06269999999999,430011,9656,0.05,44,2128.57,200,0.0001,0.03300382196903229,807502
-95.1997,438599,9849,0.05,44,2129.01,204,0.0001,0.03962268680334091,809649
-94.93,447169,10043,0.05,44,2127.4,208,0.0001,0.06322227418422699,811792
-93.86210000000003,455652,10234,0.05,44,2124.8,212,0.0001,0.062328264117240906,813912
-92.67819999999998,464161,10425,0.05,44,2124.21,216,0.0001,0.3531820774078369,816040
-92.33380000000001,472686,10618,0.05,44,2124.44,220,0.0001,0.028004785999655724,818171
-91.0503,481191,10811,0.05,44,2123.96,224,0.0001,0.027354136109352112,820297
-90.4349,489723,11007,0.05,44,2125.58,228,0.0001,0.39385995268821716,822430
-90.8808,498251,11201,0.05,44,2126.26,232,0.0001,0.05372142046689987,824562
-90.43009999999998,506945,11403,0.05,44,2128.05,236,0.0001,0.04883553832769394,826736
-90.29479999999998,515449,11597,0.05,44,2128.04,240,0.0001,0.05926163122057915,828862
-89.67310000000002,523957,11786,0.05,44,2128.12,244,0.0001,0.029094452038407326,830989
-90.02750000000002,532454,11976,0.05,44,2127.68,248,0.0001,0.08963529765605927,833113
-89.51180000000002,540783,12160,0.05,44,2124.74,252,0.0001,0.03368976339697838,835195
-89.1857,549306,12354,0.05,44,2125.54,256,0.0001,0.08068768680095673,837326
-88.6495,557710,12543,0.05,44,2124.86,260,0.0001,0.08990337699651718,839427
-87.1768,566193,12735,0.05,44,2124.85,264,0.0001,0.05135905742645264,841548
-86.4636,574757,12929,0.05,44,2125.82,268,0.0001,0.07410626113414764,843689
-86.76010000000002,583433,13132,0.05,44,2128.54,272,0.0001,0.07681648433208466,845858
-87.444,591925,13324,0.05,44,2129.06,276,0.0001,0.07780282199382782,847981
-85.9942,600661,13525,0.05,44,2130.89,280,0.0001,0.053656697273254395,850165
-83.9085,609043,13720,0.05,44,2129.81,284,0.0001,0.04706856235861778,852260
-82.903,617711,13920,0.05,44,2131.8,288,0.0001,0.029530037194490433,854427
-81.70330000000001,626190,14113,0.05,44,2131.5,292,0.0001,0.031970005482435226,856547
-82.25389999999999,634692,14310,0.05,44,2131.63,296,0.0001,0.05597548931837082,858672
-81.2487,643311,14506,0.05,44,2133.0,300,0.0001,0.04096168279647827,860827
-80.4418,651857,14699,0.05,44,2132.58,304,0.0001,0.04275916516780853,862964
-80.4708,660449,14890,0.05,44,2132.8,308,0.0001,0.06824605911970139,865112
-80.60539999999999,668912,15081,0.05,44,2132.6,312,0.0001,0.06219295784831047,867227
-80.8248,677341,15272,0.05,44,2131.8,316,0.0001,0.02490764483809471,869335
-79.5589,685861,15464,0.05,44,2131.75,320,0.0001,0.04835221916437149,871465
-80.47469999999998,694515,15662,0.05,44,2133.24,324,0.0001,0.025368019938468933,873628
-80.4452,703014,15851,0.05,44,2132.91,328,0.0001,0.04733068495988846,875753
-80.2484,711649,16045,0.05,44,2133.98,332,0.0001,0.05771324783563614,877912
