rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,rollout/exploration_rate,time/fps,time/total_timesteps,time/episodes,train/learning_rate,train/loss,train/n_updates
-1223.7525,187,2303.5,0.9124669999999995,49,9214,4,,,
-1206.4337500000001,388,2306.5,0.8247059999999998,47,18452,8,,,
-1215.341666666667,588,2310.0,0.7366600000000003,47,27720,12,,,
-1209.4693750000001,793,2305.0625,0.6496305000000007,46,36881,16,,,
-1214.754,996,2304.6,0.5621259999999999,46,46092,20,,,
-1144.7845833333333,1198,2288.5833333333335,0.4782029999999998,45,54926,24,0.0001,0.07165317237377167,713731
-1040.1789285714285,1398,2270.3214285714284,0.3960945000000001,45,63569,28,0.0001,0.08182570338249207,715892
-951.2459375,1597,2257.15625,0.3138245000000002,45,72229,32,0.0001,0.09035640954971313,718057
-872.9413888888889,1789,2239.6666666666665,0.23403399999999974,45,80628,36,0.0001,0.10463198274374008,720156
-804.72875,1983,2227.7,0.15347400000000033,44,89108,40,0.0001,0.04938667640089989,722276
-746.983409090909,2177,2220.431818181818,0.07185950000000019,44,97699,44,0.0001,0.0559854693710804,724424
-693.1895833333333,2369,2212.375,0.05,44,106194,48,0.0001,0.05886434018611908,726548
-649.2907692307691,2569,2208.576923076923,0.05,44,114846,52,0.0001,0.052577901631593704,728711
-608.8710714285714,2763,2202.9464285714284,0.05,44,123365,56,0.0001,0.05974601209163666,730841
-574.5716666666666,2954,2197.3166666666666,0.05,44,131839,60,0.0001,0.054432909935712814,732959
-544.2149999999999,3145,2191.921875,0.05,44,140283,64,0.0001,0.060878217220306396,735070
-518.428088235294,3341,2189.8676470588234,0.05,44,148911,68,0.0001,0.062330372631549835,737227
-496.7969444444444,3538,2187.5833333333335,0.05,44,157506,72,0.0001,0.08495509624481201,739376
-475.68552631578945,3734,2184.315789473684,0.05,44,166008,76,0.0001,0.05725964158773422,741501
-457.32775000000004,3932,2181.775,0.05,44,174542,80,0.0001,0.03424215316772461,743635
-439.8730952380953,4123,2177.9523809523807,0.05,44,182948,84,0.0001,0.06818837672472,745736
-424.7480681818182,4318,2175.3636363636365,0.05,44,191432,88,0.0001,0.10400281101465225,747857
-411.5142391304348,4511,2172.608695652174,0.05,44,199880,92,0.0001,0.09981611371040344,749969
-398.4941666666667,4706,2170.6979166666665,0.05,44,208387,96,0.0001,0.08084146678447723,752096
-386.30860000000007,4905,2170.25,0.05,44,217025,100,0.0001,0.041282400488853455,754256
-341.9492000000001,5099,2162.82,0.05,44,225496,104,0.0001,0.07747925072908401,756373
-298.2268,5291,2154.76,0.05,44,233928,108,0.0001,0.048205189406871796,758481
-253.55450000000002,5489,2148.24,0.05,44,242544,112,0.0001,0.06439121812582016,760635
-209.86560000000006,5678,2140.14,0.05,44,250895,116,0.0001,0.05493161827325821,762723
-164.08939999999998,5871,2132.72,0.05,44,259364,120,0.0001,0.08287224173545837,764840
-136.65520000000004,6065,2129.0,0.05,44,267826,124,0.0001,0.04149382561445236,766956
-124.0228,6258,2126.88,0.05,44,276257,128,0.0001,0.06659198552370071,769064
-114.07890000000002,6447,2124.55,0.05,44,284684,132,0.0001,0.05146849527955055,771170
-108.28370000000001,6643,2125.04,0.05,44,293132,136,0.0001,0.42511531710624695,773282
-104.9763,6835,2124.91,0.05,44,301599,140,0.0001,0.05012788623571396,775399
-102.0931,7028,2124.14,0.05,44,310113,144,0.0001,0.0809478908777237,777528
-101.52750000000002,7224,2124.93,0.05,44,318687,148,0.0001,0.053226180374622345,779671
-99.72929999999998,7419,2124.02,0.05,44,327248,152,0.0001,0.06220654770731926,781811
-100.63870000000001,7612,2123.74,0.05,44,335739,156,0.0001,0.05155046656727791,783934
-100.17600000000004,7805,2124.19,0.05,44,344258,160,0.0001,0.05545490235090256,786064
-100.2155,7995,2123.73,0.05,44,352656,164,0.0001,0.06494215875864029,788163
-99.65390000000001,8192,2123.84,0.05,44,361295,168,0.0001,0.04806465655565262,790323
-98.51890000000002,8386,2122.09,0.05,44,369715,172,0.0001,0.02850436046719551,792428
-98.97130000000003,8582,2122.22,0.05,44,378230,176,0.0001,0.0701366662979126,794557
-98.29200000000003,8777,2123.0,0.05,44,386842,180,0.0001,0.06373424828052521,796710
-97.7172,8973,2124.26,0.05,44,395374,184,0.0001,0.05065608769655228,798843
-97.52250000000002,9174,2126.06,0.05,44,404038,188,0.0001,0.06449159979820251,801009
-96.1214,9369,2125.82,0.05,44,412462,192,0.0001,0.02936011366546154,803115
-96.13220000000001,9558,2125.07,0.05,44,420894,196,0.0001,0.11226104199886322,805223
-95.90190000000001,9754,2123.64,0.05,44,429389,200,0.0001,0.062107235193252563,807347
-95.4586,9949,2123.07,0.05,44,437803,204,0.0001,0.02866537682712078,809450
-94.85089999999998,10147,2125.46,0.05,43,446474,208,0.0001,0.044285863637924194,811618
-94.1009,10339,2124.21,0.05,44,454965,212,0.0001,0.030657781288027763,813741
-92.9694,10534,2125.57,0.05,43,463452,216,0.0001,0.056328192353248596,815862
-92.53379999999997,10731,2126.55,0.05,43,472019,220,0.0001,0.08596998453140259,818004
-91.09469999999999,10925,2125.41,0.05,43,480367,224,0.0001,0.05644907057285309,820091
-91.1118,11119,2126.54,0.05,43,488911,228,0.0001,0.01856314204633236,822227
-91.1812,11313,2126.96,0.05,43,497380,232,0.0001,0.10309966653585434,824344
-89.87680000000005,11507,2127.45,0.05,43,505877,236,0.0001,0.04967452213168144,826469
-89.04530000000001,11703,2128.96,0.05,43,514495,240,0.0001,0.029118617996573448,828623
-89.32699999999998,11900,2128.52,0.05,43,522965,244,0.0001,0.043925411999225616,830741
-88.74330000000002,12089,2126.92,0.05,43,531379,248,0.0001,0.06569170206785202,832844
-89.04019999999998,12283,2126.54,0.05,43,539902,252,0.0001,0.01921100914478302,834975
-89.2454,12481,2128.2,0.05,43,548559,256,0.0001,0.021324587985873222,837139
-88.906,12673,2127.4,0.05,43,556998,260,0.0001,0.08506709337234497,839249
-88.20359999999997,12870,2129.19,0.05,43,565575,264,0.0001,0.08730529248714447,841393
-87.9208,13066,2128.38,0.05,43,574133,268,0.0001,0.1179911270737648,843533
-87.3478,13262,2128.95,0.05,43,582610,272,0.0001,0.01940125599503517,845652
-86.2148,13458,2129.28,0.05,43,591158,276,0.0001,0.06691747158765793,847789
-85.05140000000002,13656,2128.19,0.05,43,599661,280,0.0001,0.06298819184303284,849915
-85.15709999999999,13849,2127.28,0.05,43,608102,284,0.0001,0.047813400626182556,852025
-84.4016,14047,2126.64,0.05,43,616702,288,0.0001,0.059283219277858734,854175
-84.33310000000002,14244,2127.16,0.05,43,625178,292,0.0001,0.045160237699747086,856294
-83.78059999999999,14441,2128.58,0.05,43,633752,296,0.0001,0.04021327197551727,858437
-83.2999,14636,2128.06,0.05,43,642195,300,0.0001,0.050567418336868286,860548
-81.59949999999999,14829,2127.19,0.05,43,650522,304,0.0001,0.08104783296585083,862630
-81.3034,15025,2125.7,0.05,43,659044,308,0.0001,0.0882972925901413,864760
-81.1684,15223,2126.79,0.05,43,667644,312,0.0001,0.039650216698646545,866910
-82.2534,15415,2126.5,0.05,43,676102,316,0.0001,0.08125276863574982,869025
-81.9599,15607,2125.63,0.05,43,684582,320,0.0001,0.08151260763406754,871145
-81.90329999999999,15805,2127.34,0.05,43,693101,324,0.0001,0.08365598320960999,873275
-81.3149,16002,2128.57,0.05,43,701768,328,0.0001,0.04639388620853424,875441
-81.0467,16194,2127.99,0.05,43,710179,332,0.0001,0.06936203688383102,877544
-81.3568,16387,2127.57,0.05,43,718634,336,0.0001,0.03769043833017349,879658
-80.95689999999999,16586,2128.14,0.05,43,727309,340,0.0001,0.15336893498897552,881827
-79.98769999999999,16777,2127.43,0.05,43,735708,344,0.0001,0.049390845000743866,883926
-80.2117,16971,2129.25,0.05,43,744304,348,0.0001,0.039971232414245605,886075
-80.095,17170,2128.29,0.05,43,752731,352,0.0001,0.051665663719177246,888182
-79.2103,17359,2124.91,0.05,43,761050,356,0.0001,0.04958335682749748,890262
-79.5995,17551,2124.65,0.05,43,769463,360,0.0001,0.057645052671432495,892365
-80.5905,17745,2123.68,0.05,43,777943,364,0.0001,0.07869212329387665,894485
-80.09630000000001,17936,2122.87,0.05,43,786420,368,0.0001,0.03226371854543686,896604
-79.3024,18130,2123.17,0.05,43,794927,372,0.0001,0.029441146180033684,898731
-80.3845,18324,2122.44,0.05,43,803402,376,0.0001,0.06665177643299103,900850
-80.67190000000001,18521,2123.08,0.05,43,811969,380,0.0001,0.023260246962308884,902992
-80.06670000000001,18713,2123.04,0.05,43,820406,384,0.0001,0.09799502789974213,905101
-79.5109,18909,2121.26,0.05,43,828828,388,0.0001,0.017694205045700073,907206
-79.01520000000001,19106,2121.77,0.05,43,837355,392,0.0001,0.07136601209640503,909338
-78.69530000000003,19300,2121.2,0.05,43,845872,396,0.0001,0.10064678639173508,911467
-79.1028,19498,2123.01,0.05,43,854496,400,0.0001,0.04901384934782982,913623
-79.4536,19692,2124.56,0.05,43,862978,404,0.0001,0.06056602671742439,915744
-79.363,19884,2122.59,0.05,43,871303,408,0.0001,0.05952221527695656,917825
-78.6026,20081,2122.49,0.05,43,879893,412,0.0001,0.024867726489901543,919973
-77.1545,20269,2121.36,0.05,43,888238,416,0.0001,0.05045285075902939,922059
-76.92569999999999,20465,2122.16,0.05,43,896798,420,0.0001,0.03557177633047104,924199
-76.88159999999999,20657,2121.56,0.05,43,905257,424,0.0001,0.04203623905777931,926314
-76.934,20853,2120.65,0.05,43,913833,428,0.0001,0.05730753391981125,928458
-77.6717,21052,2122.05,0.05,43,922384,432,0.0001,0.047423720359802246,930595
-76.8689,21251,2124.01,0.05,43,931035,436,0.0001,0.027423027902841568,932758
-76.6503,21445,2122.82,0.05,43,939591,440,0.0001,0.04104790836572647,934897
-77.0873,21641,2124.22,0.05,43,948130,444,0.0001,0.13482490181922913,937032
-76.28280000000001,21835,2124.28,0.05,43,956732,448,0.0001,0.015026522800326347,939182
-76.35340000000001,22028,2124.35,0.05,43,965166,452,0.0001,0.07327146828174591,941291
-75.7561,22225,2127.36,0.05,43,973786,456,0.0001,0.05343913286924362,943446
-75.2751,22411,2127.41,0.05,43,982204,460,0.0001,0.03999439626932144,945550
-74.0217,22585,2127.71,0.05,43,990714,464,0.0001,0.024601895362138748,947678
-73.8666,22756,2128.04,0.05,43,999224,468,0.0001,0.1030910536646843,949805
