rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes,time/total_timesteps,time/time_elapsed,train/loss,train/n_updates,train/learning_rate
0.9119445000000003,29,2317.25,-1215.9275,4,9269,316,,,
0.8244685000000004,26,2309.625,-1207.7325,8,18477,702,,,
0.7371159999999997,25,2306.0,-1212.1875,12,27672,1093,,,
0.6494974999999998,24,2305.9375,-1206.8581250000002,16,36895,1480,,,
0.5624775000000004,24,2302.75,-1208.101,20,46055,1856,,,
0.47760450000000054,23,2291.2083333333335,-1140.1758333333335,24,54989,2318,0.0771280899643898,713747,0.0001
0.39691150000000053,22,2267.25,-1032.4285714285713,28,63483,2844,0.0815877616405487,715870,0.0001
0.3147934999999996,10,2253.96875,-943.0975000000001,32,72127,6668,0.06658284366130829,718031,0.0001
0.23298900000000022,11,2242.722222222222,-868.5438888888889,36,80738,7086,0.05561405420303345,720184,0.0001
0.15212499999999962,11,2231.25,-800.9744999999999,40,89250,7476,0.08984135091304779,722312,0.0001
0.07150799999999968,12,2221.2727272727275,-741.9065909090909,44,97736,7874,0.07625886797904968,724433,0.0001
0.05,12,2212.2916666666665,-689.3829166666668,48,106190,8273,0.039018306881189346,726547,0.0001
0.05,13,2206.980769230769,-643.2203846153848,52,114763,8673,0.05299068242311478,728690,0.0001
0.05,13,2200.4821428571427,-604.5494642857144,56,123227,9067,0.047794319689273834,730806,0.0001
0.05,13,2196.633333333333,-571.2916666666669,60,131798,9457,0.09894373267889023,732949,0.0001
0.05,14,2192.71875,-541.0946875,64,140334,9831,0.06034265086054802,735083,0.0001
0.05,14,2187.25,-515.4892647058823,68,148733,10192,0.050031378865242004,737183,0.0001
0.05,14,2185.0138888888887,-493.65222222222224,72,157321,10573,0.031190527603030205,739330,0.0001
0.05,15,2180.092105263158,-473.6490789473684,76,165687,10940,0.05063457041978836,741421,0.0001
0.05,15,2177.6875,-454.686875,80,174215,11326,0.0881834477186203,743553,0.0001
0.05,15,2174.0476190476193,-438.37059523809523,84,182620,11701,0.05577458441257477,745654,0.0001
0.05,15,2171.375,-423.50045454545455,88,191081,12078,0.03521692007780075,747770,0.0001
0.05,16,2170.1847826086955,-409.26510869565226,92,199657,12460,0.07133667171001434,749914,0.0001
0.05,16,2169.0416666666665,-397.6928125,96,208228,12844,0.06609442830085754,752056,0.0001
0.05,16,2166.81,-386.06410000000005,100,216681,13214,0.05579504370689392,754170,0.0001
0.05,16,2159.24,-341.0898,104,225193,13582,0.093985415995121,756298,0.0001
0.05,16,2152.69,-297.40149999999994,108,233746,13963,0.06904919445514679,758436,0.0001
0.05,16,2145.28,-252.4912,112,242200,14347,0.38824912905693054,760549,0.0001
0.05,16,2137.46,-208.47459999999998,116,250641,14778,0.1032184511423111,762660,0.0001
0.05,17,2131.82,-163.4653,120,259237,15230,0.05414453521370888,764809,0.0001
0.05,17,2127.61,-135.05389999999997,124,267750,15669,0.07530168443918228,766937,0.0001
0.05,17,2129.64,-123.50999999999998,128,276447,16144,0.051376309245824814,769111,0.0001
0.05,17,2127.58,-115.2257,132,284885,16621,0.028960220515727997,771221,0.0001
0.05,17,2126.64,-108.34039999999999,136,293402,17114,0.0272507444024086,773350,0.0001
0.05,17,2127.17,-103.99679999999998,140,301967,17636,0.04959825798869133,775491,0.0001
0.05,17,2126.01,-100.9302,144,310337,18112,0.06858816742897034,777584,0.0001
0.05,17,2126.67,-100.26270000000001,148,318857,18549,0.07316373288631439,779714,0.0001
0.05,17,2125.61,-100.24199999999999,152,327324,18975,0.0328754298388958,781830,0.0001
0.05,17,2126.66,-101.0387,156,335893,19436,0.04724881425499916,783973,0.0001
0.05,17,2126.54,-100.17600000000002,160,344452,19870,0.0289386585354805,786112,0.0001
0.05,17,2126.68,-100.804,164,353002,20295,0.06752562522888184,788250,0.0001
0.05,17,2128.89,-99.72789999999999,168,361622,20717,0.03590862452983856,790405,0.0001
0.05,17,2128.44,-98.98089999999998,172,370165,21131,0.07672321796417236,792541,0.0001
0.05,17,2129.39,-97.9808,176,378626,21544,0.06906215846538544,794656,0.0001
0.05,17,2128.24,-97.50540000000001,180,387039,21956,0.035213448107242584,796759,0.0001
0.05,17,2130.35,-96.8417,184,395655,22374,0.09684471786022186,798913,0.0001
0.05,17,2132.29,-95.66589999999998,188,404310,22799,0.05134531855583191,801077,0.0001
0.05,17,2131.17,-94.74400000000001,192,412774,23212,0.027054011821746826,803193,0.0001
0.05,17,2129.72,-92.7098,196,421200,23613,0.03563081845641136,805299,0.0001
0.05,17,2130.82,-92.4289,200,429763,24022,0.018062856048345566,807440,0.0001
0.05,17,2130.99,-92.1726,204,438292,24452,0.04890032857656479,809572,0.0001
0.05,17,2132.42,-90.8417,208,446988,24896,0.02497483603656292,811746,0.0001
0.05,17,2132.46,-89.77450000000003,212,455446,25362,0.028803933411836624,813861,0.0001
0.05,17,2135.2,-89.97910000000002,216,464161,25814,0.036844104528427124,816040,0.0001
