rollout/ep_len_mean,time/total_timesteps,time/episodes,time/time_elapsed,time/fps,rollout/exploration_rate,rollout/ep_rew_mean,train/loss,train/n_updates,train/learning_rate
2254.75,9019,4,310,29,0.9143195000000001,-1144.005,,,
2265.625,18125,8,692,26,0.8278125000000005,-1170.03625,,,
2287.3333333333335,27448,12,1087,25,0.7392439999999998,-1184.4875000000002,,,
2289.5625,36633,16,1469,24,0.6519864999999998,-1194.295,,,
2291.5,45830,20,1848,24,0.5646149999999996,-1197.3225,,,
2281.7916666666665,54763,24,2315,23,0.4797515,-1129.0395833333332,0.058660537004470825,713690,0.0001
2265.0714285714284,63422,28,2864,22,0.39749100000000026,-1024.4225,0.08027692139148712,715855,0.0001
2246.875,71900,32,6670,10,0.3169500000000004,-937.2965625,0.05059563368558884,717974,0.0001
2234.972222222222,80459,36,7085,11,0.23563949999999956,-861.9488888888889,0.06137032061815262,720114,0.0001
2223.225,88929,40,7475,11,0.15517449999999977,-798.1725,0.07566924393177032,722232,0.0001
2214.8636363636365,97454,44,7879,12,0.07418699999999967,-739.1072727272727,0.07280442863702774,724363,0.0001
2210.7916666666665,106118,48,8297,12,0.05,-685.3227083333333,0.061963826417922974,726529,0.0001
2202.2884615384614,114519,52,8686,13,0.05,-641.305576923077,0.08203518390655518,728629,0.0001
2200.5178571428573,123229,56,9099,13,0.05,-602.6967857142857,0.06928769499063492,730807,0.0001
2194.883333333333,131693,60,9479,13,0.05,-569.7191666666669,0.07482735812664032,732923,0.0001
2190.15625,140170,64,9853,14,0.05,-540.4518750000001,0.11430652439594269,735042,0.0001
2185.1911764705883,148593,68,10219,14,0.05,-514.2033823529413,0.06093483790755272,737148,0.0001
2180.277777777778,156980,72,10592,14,0.05,-491.3390277777778,0.03302089497447014,739244,0.0001
2178.8289473684213,165591,76,10977,15,0.05,-471.70842105263154,0.039107248187065125,741397,0.0001
2174.825,173986,80,11358,15,0.05,-453.23862500000007,0.04649420827627182,743496,0.0001
2174.5714285714284,182664,84,11752,15,0.05,-436.90059523809515,0.03293295204639435,745665,0.0001
2172.2954545454545,191162,88,12128,15,0.05,-421.58761363636364,0.06385687738656998,747790,0.0001
2170.7065217391305,199705,92,12514,15,0.05,-407.16347826086957,0.07921989262104034,749926,0.0001
2170.7916666666665,208396,96,12905,16,0.05,-395.40739583333334,0.05404898524284363,752098,0.0001
2170.07,217007,100,13288,16,0.05,-383.9217,0.10659996420145035,754251,0.0001
2164.83,225502,104,13655,16,0.05,-342.14469999999994,0.13653919100761414,756375,0.0001
2160.04,234129,108,14047,16,0.05,-298.59739999999994,0.07784467935562134,758532,0.0001
2150.95,242543,112,14434,16,0.05,-253.92890000000003,0.052243221551179886,760635,0.0001
2144.31,251064,116,14890,16,0.05,-209.12149999999997,0.05193565785884857,762765,0.0001
2137.48,259578,120,15332,16,0.05,-164.49430000000004,0.03598719835281372,764894,0.0001
2131.94,267957,124,15774,16,0.05,-136.9192,0.04199862480163574,766989,0.0001
