time/time_elapsed,time/episodes,time/total_timesteps,rollout/ep_len_mean,rollout/exploration_rate,rollout/ep_rew_mean,time/fps,train/learning_rate,train/n_updates,train/loss
202,4,9254,2313.5,0.9120870000000002,-1199.0875,45,,,
396,8,18318,2289.75,0.8259789999999995,-1180.75,46,,,
595,12,27570,2297.5,0.7380850000000002,-1196.1566666666668,46,,,
796,16,36712,2294.5,0.6512360000000004,-1201.6443749999999,46,,,
998,20,45968,2298.4,0.5633039999999999,-1199.791,46,,,
1211,24,55238,2301.5833333333335,0.47523899999999997,-1208.8966666666668,45,0.0001,1309,0.12891414761543274
1414,28,64171,2291.8214285714284,0.3903755000000003,-1178.2235714285714,45,0.0001,3542,0.09094828367233276
1616,32,73009,2281.53125,0.30641450000000015,-1148.2675,45,0.0001,5752,0.09391280263662338
1817,36,81873,2274.25,0.2222065000000003,-1116.8033333333333,45,0.0001,7968,0.14001676440238953
2014,40,90531,2263.275,0.1399554999999998,-1087.7087500000002,44,0.0001,10132,0.11280298978090286
2215,44,99380,2258.6363636363635,0.05588999999999977,-1068.1402272727275,44,0.0001,12344,0.10770223289728165
2414,48,108061,2251.2708333333335,0.05,-1048.4045833333332,44,0.0001,14515,0.09899874031543732
2615,52,116889,2247.8653846153848,0.05,-1036.4036538461537,44,0.0001,16722,0.07015267014503479
2817,56,125673,2244.160714285714,0.05,-1021.3128571428572,44,0.0001,18918,0.11562620103359222
3012,60,134342,2239.0333333333333,0.05,-1008.8596666666668,44,0.0001,21085,0.17839732766151428
3212,64,143086,2235.71875,0.05,-997.9551562500001,44,0.0001,23271,0.10557094216346741
3410,68,151816,2232.5882352941176,0.05,-984.4161764705883,44,0.0001,25453,0.13304075598716736
3610,72,160668,2231.5,0.05,-968.7261111111113,44,0.0001,27666,0.10959728062152863
3807,76,169208,2226.4210526315787,0.05,-951.2101315789475,44,0.0001,29801,0.1228252723813057
4009,80,177912,2223.9,0.05,-935.5843750000001,44,0.0001,31977,0.10489208251237869
4211,84,186795,2223.75,0.05,-921.3654761904763,44,0.0001,34198,0.13302433490753174
4406,88,195409,2220.556818181818,0.05,-905.6975000000001,44,0.0001,36352,0.13748237490653992
4600,92,204040,2217.8260869565215,0.05,-891.450108695652,44,0.0001,38509,0.12909334897994995
4796,96,212698,2215.6041666666665,0.05,-875.4726041666668,44,0.0001,40674,0.10700297355651855
4991,100,221212,2212.12,0.05,-862.4597000000001,44,0.0001,42802,0.11632942408323288
5179,104,229616,2203.62,0.05,-832.1779999999999,44,0.0001,44903,0.11444506049156189
5371,108,238185,2198.67,0.05,-802.8458999999998,44,0.0001,47046,0.07987917959690094
5570,112,246817,2192.47,0.05,-769.8475,44,0.0001,49204,0.14587929844856262
5766,116,255548,2188.36,0.05,-738.4486,44,0.0001,51386,0.08995099365711212
5965,120,264205,2182.37,0.05,-708.2968000000001,44,0.0001,53551,0.16623272001743317
6161,124,272797,2175.59,0.05,-674.5738,44,0.0001,55699,0.06328126043081284
6356,128,281449,2172.78,0.05,-652.3825,44,0.0001,57862,0.10253377258777618
6550,132,290004,2169.95,0.05,-631.3523,44,0.0001,60000,0.17992264032363892
6745,136,298627,2167.54,0.05,-613.3824,44,0.0001,62156,0.09201906621456146
