time/time_elapsed,time/fps,rollout/exploration_rate,time/total_timesteps,rollout/ep_rew_mean,time/episodes,rollout/ep_len_mean,train/n_updates,train/loss,train/learning_rate
198,45,0.9137495000000005,9079,-1170.1925,4,2269.75,,,
398,45,0.8271095000000004,18199,-1180.93,8,2274.875,,,
601,45,0.7392535,27447,-1202.6716666666669,12,2287.25,,,
795,45,0.6529270000000005,36534,-1193.62,16,2283.375,,,
995,45,0.5664010000000004,45642,-1192.5745,20,2282.1,,,
1214,45,0.47613200000000033,55144,-1208.6583333333335,24,2297.6666666666665,1285,0.11473993957042694,0.0001
1414,45,0.39181000000000044,64020,-1169.1903571428572,28,2286.4285714285716,3504,0.11326843500137329,0.0001
1622,44,0.3067850000000002,72970,-1143.3953125,32,2280.3125,5742,0.07256612181663513,0.0001
1818,44,0.2232799999999996,81760,-1113.6016666666667,36,2271.1111111111113,7939,0.12173976004123688,0.0001
2021,44,0.13959449999999995,90569,-1089.2217500000002,40,2264.225,10142,0.09579092264175415,0.0001
2218,44,0.056004000000000054,99368,-1077.5768181818185,44,2258.3636363636365,12341,0.11195499449968338,0.0001
2418,44,0.05,108150,-1063.6491666666668,48,2253.125,14537,0.11489081382751465,0.0001
2620,44,0.05,117033,-1054.1407692307694,52,2250.6346153846152,16758,0.12158526480197906,0.0001
2819,44,0.05,125809,-1045.95625,56,2246.589285714286,18952,0.09013025462627411,0.0001
3020,44,0.05,134695,-1032.9256666666668,60,2244.9166666666665,21173,0.12256897985935211,0.0001
3218,44,0.05,143476,-1018.8704687500001,64,2241.8125,23368,0.08133003115653992,0.0001
3418,44,0.05,152253,-1001.8805882352942,68,2239.014705882353,25563,0.1343984603881836,0.0001
3619,44,0.05,161085,-989.5452777777779,72,2237.2916666666665,27771,0.13638949394226074,0.0001
3825,44,0.05,169893,-974.5811842105264,76,2235.434210526316,29973,0.12154170870780945,0.0001
4030,44,0.05,178717,-962.3333749999999,80,2233.9625,32179,0.1370028853416443,0.0001
4231,44,0.05,187406,-945.2610714285715,84,2231.0238095238096,34351,0.1041991114616394,0.0001
4425,44,0.05,196038,-932.6860227272726,88,2227.7045454545455,36509,0.13510993123054504,0.0001
4630,44,0.05,204988,-919.5449999999998,92,2228.1304347826085,38746,0.13872115314006805,0.0001
4826,44,0.05,213701,-910.8594791666666,96,2226.0520833333335,40925,0.09165351092815399,0.0001
