rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/episodes,time/total_timesteps,rollout/exploration_rate,train/learning_rate,train/n_updates,train/loss
2345.5,46,203,-1241.5375000000001,4,9382,0.910871,,,
2314.25,46,399,-1215.465,8,18514,0.8241169999999998,,,
2320.5833333333335,45,605,-1217.3516666666665,12,27847,0.7354535000000004,,,
2304.625,46,800,-1207.10625,16,36874,0.6496970000000004,,,
2302.25,46,998,-1205.3645000000001,20,46045,0.5625724999999999,,,
2315.3333333333335,45,1217,-1222.5666666666668,24,55568,0.4721040000000005,0.0001,1391,0.08308934420347214
2301.8928571428573,45,1419,-1177.2510714285713,28,64453,0.3876965000000002,0.0001,3613,0.10307060182094574
2291.3125,45,1619,-1138.034375,32,73322,0.30344100000000007,0.0001,5830,0.08630050718784332
2287.25,45,1826,-1115.2316666666666,36,82341,0.21776050000000002,0.0001,8085,0.0820489227771759
2280.275,44,2029,-1090.5390000000002,40,91211,0.13349549999999977,0.0001,10302,0.12631884217262268
2272.75,44,2228,-1073.1325000000002,44,100001,0.05,0.0001,12500,0.19160911440849304
2264.9166666666665,44,2424,-1058.813125,48,108716,0.05,0.0001,14678,0.11516624689102173
2262.519230769231,44,2632,-1049.188269230769,52,117651,0.05,0.0001,16912,0.1184779703617096
2255.6785714285716,44,2831,-1025.4932142857144,56,126318,0.05,0.0001,19079,0.11220890283584595
2250.5333333333333,44,3028,-1010.586,60,135032,0.05,0.0001,21257,0.09708812832832336
2245.84375,44,3227,-994.4796875,64,143734,0.05,0.0001,23433,0.12763875722885132
2242.1911764705883,44,3425,-977.157794117647,68,152469,0.05,0.0001,25617,0.1821957230567932
2236.8333333333335,44,3620,-955.7008333333332,72,161052,0.05,0.0001,27762,0.10000880062580109
2235.1315789473683,44,3826,-939.463947368421,76,169870,0.05,0.0001,29967,0.09072890132665634
2231.05,44,4024,-918.8036250000001,80,178484,0.05,0.0001,32120,0.08758780360221863
2228.6309523809523,44,4228,-901.2258333333333,84,187205,0.05,0.0001,34301,0.07645164430141449
2225.409090909091,44,4425,-881.601590909091,88,195836,0.05,0.0001,36458,0.09958764165639877
2223.0108695652175,44,4624,-864.2518478260871,92,204517,0.05,0.0001,38629,0.09479983896017075
2221.8125,44,4826,-846.1334375,96,213294,0.05,0.0001,40823,0.10082823038101196
2219.37,44,5024,-827.2665999999999,100,221937,0.05,0.0001,42984,0.11065302044153214
2212.2,44,5222,-795.6415000000001,104,230602,0.05,0.0001,45150,0.13105005025863647
2207.34,44,5421,-765.7760999999998,108,239248,0.05,0.0001,47311,0.1593514382839203
2200.67,44,5619,-732.6998000000001,112,247914,0.05,0.0001,49478,0.0806313306093216
2195.32,44,5811,-699.7727,116,256406,0.05,0.0001,51601,0.08384962379932404
2190.22,44,6009,-666.688,120,265067,0.05,0.0001,53766,0.11987718939781189
2180.99,44,6209,-626.9654,124,273667,0.05,0.0001,55916,0.13898026943206787
2177.56,44,6402,-605.2201,128,282209,0.05,0.0001,58052,0.09489545971155167
2176.15,44,6601,-584.7828999999999,132,290937,0.05,0.0001,60234,0.07166417688131332
2173.2,44,6801,-561.9006999999999,136,299661,0.05,0.0001,62415,0.11577320098876953
2170.06,44,6997,-538.5706000000001,140,308217,0.05,0.0001,64554,0.09014126658439636
2169.37,44,7198,-516.0929000000001,144,316938,0.05,0.0001,66734,0.08876156806945801
2166.86,44,7388,-489.87230000000005,148,325402,0.05,0.0001,68850,0.112884521484375
2164.48,44,7587,-462.9005999999999,152,334099,0.05,0.0001,71024,0.06436775624752045
2163.42,44,7779,-443.29799999999994,156,342660,0.05,0.0001,73164,0.11682429164648056
2162.95,44,7980,-420.76410000000004,160,351327,0.05,0.0001,75331,0.10597793757915497
2161.47,44,8174,-399.6324999999999,164,359881,0.05,0.0001,77470,0.04191960394382477
2160.14,44,8367,-380.00570000000005,168,368483,0.05,0.0001,79620,0.09463896602392197
2160.31,44,8563,-365.20759999999996,172,377083,0.05,0.0001,81770,0.06412390619516373
2158.63,44,8760,-346.82149999999996,176,385733,0.05,0.0001,83933,0.12774741649627686
2157.93,44,8956,-332.93430000000006,180,394277,0.05,0.0001,86069,0.0766201913356781
2155.61,44,9147,-319.9818,184,402766,0.05,0.0001,88191,0.11334878206253052
2154.81,44,9344,-308.7541,188,411317,0.05,0.0001,90329,0.09882732480764389
2153.61,44,9539,-296.8694,192,419878,0.05,0.0001,92469,0.10638690739870071
2151.87,44,9734,-287.48659999999995,196,428481,0.05,0.0001,94620,0.09646497666835785
2150.4,44,9929,-279.7173,200,436977,0.05,0.0001,96744,0.08481337130069733
2149.46,43,10127,-270.19190000000003,204,445548,0.05,0.0001,98886,0.06973934173583984
2148.17,43,10321,-259.9592,208,454065,0.05,0.0001,101016,0.04578254371881485
2147.0,43,10514,-250.9684000000001,212,462614,0.05,0.0001,103153,0.08199578523635864
2146.72,43,10708,-242.89440000000002,216,471078,0.05,0.0001,105269,0.07530281692743301
2145.67,43,10906,-234.11690000000002,220,479634,0.05,0.0001,107408,0.10677598416805267
2143.69,43,11099,-228.75519999999997,224,488036,0.05,0.0001,109508,0.0736560970544815
2144.3,43,11296,-220.23410000000004,228,496639,0.05,0.0001,111659,0.12181204557418823
2141.98,43,11491,-211.71450000000002,232,505135,0.05,0.0001,113783,0.06431131064891815
2138.55,43,11681,-202.5815,236,513516,0.05,0.0001,115878,0.06250537186861038
2138.24,43,11876,-197.0483,240,522041,0.05,0.0001,118010,0.07983008027076721
2137.45,43,12073,-189.2556,244,530683,0.05,0.0001,120170,0.21944358944892883
2139.11,43,12269,-185.69289999999998,248,539313,0.05,0.0001,122328,0.09318368136882782
2137.08,43,12462,-181.1042,252,547807,0.05,0.0001,124451,0.07838273048400879
2137.95,43,12658,-179.21,256,556455,0.05,0.0001,126613,0.1028556153178215
2136.87,43,12852,-175.12979999999996,260,565014,0.05,0.0001,128753,0.054992325603961945
2136.61,43,13049,-171.84949999999992,264,573542,0.05,0.0001,130885,0.09575209021568298
2135.84,43,13241,-168.53540000000004,268,582067,0.05,0.0001,133016,0.03950360044836998
2134.83,43,13437,-164.73460000000003,272,590566,0.05,0.0001,135141,0.06415931135416031
2132.99,43,13630,-161.8552,276,599032,0.05,0.0001,137257,0.09305901825428009
2133.49,43,13823,-159.8954,280,607626,0.05,0.0001,139406,0.07339078187942505
2132.81,43,14014,-156.35379999999998,284,616047,0.05,0.0001,141511,0.09215867519378662
2133.12,43,14215,-154.6262,288,624629,0.05,0.0001,143657,0.05612059682607651
2133.85,43,14409,-152.2401,292,633263,0.05,0.0001,145815,0.06971623003482819
2134.59,43,14607,-149.765,296,641940,0.05,0.0001,147984,0.07505908608436584
2135.25,43,14803,-147.59339999999997,300,650502,0.05,0.0001,150125,0.0947660356760025
2134.52,43,14996,-143.7118,304,659000,0.05,0.0001,152249,0.05500945448875427
2134.12,43,15188,-140.5482,308,667477,0.05,0.0001,154369,0.04028109461069107
2134.76,43,15385,-140.0726,312,676090,0.05,0.0001,156522,0.05074268952012062
2135.5,43,15576,-138.5198,316,684628,0.05,0.0001,158656,0.06606519222259521
2133.59,43,15764,-137.85,320,692993,0.05,0.0001,160748,0.0820530503988266
2135.03,43,15958,-135.2919,324,701539,0.05,0.0001,162884,0.08673427999019623
2135.07,43,16155,-133.9818,328,710146,0.05,0.0001,165036,0.037192292511463165
2135.9,43,16352,-133.35809999999998,332,718725,0.05,0.0001,167181,0.0378391332924366
2138.18,43,16547,-133.2354,336,727334,0.05,0.0001,169333,0.08269152045249939
2138.91,43,16742,-131.70940000000002,340,735932,0.05,0.0001,171482,0.2359420657157898
2138.53,43,16937,-131.24599999999998,344,744536,0.05,0.0001,173633,0.060544222593307495
2138.54,43,17139,-129.2605,348,753167,0.05,0.0001,175791,0.0935768261551857
2138.59,43,17332,-127.66069999999999,352,761666,0.05,0.0001,177916,0.05674296244978905
2137.74,43,17526,-125.06970000000003,356,770229,0.05,0.0001,180057,0.09373337030410767
2137.08,43,17719,-123.7276,360,778722,0.05,0.0001,182180,0.23055268824100494
