rollout/exploration_rate,time/episodes,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/fps,rollout/ep_len_mean,train/loss,train/learning_rate,train/n_updates
0.9711738333333331,4,2,-867.0825,9103,3314,2275.75,,,
0.9421988333333331,8,4,-885.3299999999999,18253,3701,2281.625,,,
0.9129420000000005,12,7,-889.7208333333332,27492,3827,2291.0,,,
0.8841569999999996,16,9,-886.2181249999999,36582,3888,2286.375,,,
0.8550078333333329,20,11,-885.8459999999999,45787,3948,2289.35,,,
0.8258713333333336,24,17,-887.3808333333333,54988,3163,2291.1666666666665,0.019241441041231155,0.0001,1246
0.7967285000000001,28,26,-885.4660714285714,64191,2447,2292.535714285714,0.016208235174417496,0.0001,3547
0.7686623333333339,32,34,-876.21375,73054,2100,2282.9375,0.018194228410720825,0.0001,5763
0.7407925,36,43,-866.0805555555557,81855,1877,2273.75,0.014753013849258423,0.0001,7963
0.7123780000000003,40,52,-858.8534999999999,90828,1721,2270.7,0.010365946218371391,0.0001,10206
0.6842453333333334,44,61,-850.4570454545454,99712,1608,2266.181818181818,0.00878047849982977,0.0001,12427
0.6560999999999999,48,71,-841.7814583333334,108600,1515,2262.5,0.012537254020571709,0.0001,14649
0.6281414999999997,52,81,-833.3036538461537,117429,1448,2258.25,0.019222594797611237,0.0001,16857
0.5997396666666663,56,90,-827.0055357142857,126398,1393,2257.1071428571427,0.01452723890542984,0.0001,19099
0.5715088333333336,60,100,-820.6613333333332,135313,1348,2255.2166666666667,0.014708402566611767,0.0001,21328
0.5432241666666664,64,109,-813.5678125000001,144245,1311,2253.828125,0.018596220761537552,0.0001,23561
0.5154018333333329,68,119,-806.0016176470588,153031,1282,2250.455882352941,0.011598938144743443,0.0001,25757
0.48713300000000026,72,128,-799.4923611111111,161958,1256,2249.4166666666665,0.012470735237002373,0.0001,27989
0.45874383333333324,76,138,-793.0932894736842,170923,1233,2248.9868421052633,0.017820103093981743,0.0001,30230
0.43019949999999996,80,148,-787.402125,179937,1213,2249.2125,0.01672329381108284,0.0001,32484
0.401918,84,158,-782.3710714285714,188868,1195,2248.4285714285716,0.013017104007303715,0.0001,34716
0.37351299999999943,88,167,-776.9820454545456,197838,1178,2248.159090909091,0.019495509564876556,0.0001,36959
0.34557349999999976,92,177,-770.7184782608698,206661,1163,2246.3152173913045,0.01147003285586834,0.0001,39165
0.31774483333333314,96,187,-764.0954166666667,215449,1149,2244.2604166666665,0.014481157064437866,0.0001,41362
0.2899858333333333,100,197,-758.0329999999999,224215,1136,2242.15,0.027496645227074623,0.0001,43553
0.26211283333333335,104,207,-747.8955000000001,233017,1124,2239.14,0.009845050051808357,0.0001,45754
0.23356216666666696,108,217,-735.9456,242033,1113,2237.8,0.01828659512102604,0.0001,48008
0.205065333333333,112,227,-724.8670999999999,251032,1103,2235.4,0.014343038201332092,0.0001,50257
0.17716066666666608,116,237,-713.5591000000001,259844,1093,2232.62,0.01501145213842392,0.0001,52460
0.1493509999999999,120,247,-702.0082000000001,268626,1084,2228.39,0.015828102827072144,0.0001,54656
0.12095549999999977,124,257,-690.5854,277593,1076,2226.05,0.019468232989311218,0.0001,56898
0.09335166666666728,128,268,-678.4764,286310,1067,2221.19,0.014447707682847977,0.0001,59077
0.06589983333333382,132,278,-668.5793000000001,294979,1059,2219.25,0.026760254055261612,0.0001,61244
0.05,136,288,-659.5525,303816,1051,2219.61,0.018548032268881798,0.0001,63453
0.05,140,299,-648.9821,312543,1045,2217.15,0.02547602355480194,0.0001,65635
0.05,144,309,-640.6576000000001,321373,1038,2216.61,0.020263805985450745,0.0001,67843
0.05,148,320,-631.8580999999999,330102,1030,2215.02,0.02045283280313015,0.0001,70025
0.05,152,331,-624.6252000000001,338966,1023,2215.37,0.029354026541113853,0.0001,72241
