rollout/ep_rew_mean,time/episodes,time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/exploration_rate,train/loss,train/n_updates,train/learning_rate
-2339.795,4,26,690,4657.75,18631,0.8230055000000005,,,
-2371.21625,8,27,1347,4692.0,37536,0.643408,,,
-2379.0108333333333,12,27,2034,4701.583333333333,56419,0.46401950000000014,0.09490302950143814,1604,0.0001
-2211.93625,16,13,5569,4659.1875,74547,0.29180349999999977,0.10841900110244751,6136,0.0001
-2115.1465000000003,20,14,6507,4641.5,92830,0.11811500000000041,0.08139128983020782,10707,0.0001
-2067.3233333333333,24,14,7493,4639.5,111348,0.05,0.15244489908218384,15336,0.0001
-1989.338214285714,28,15,8418,4625.107142857143,129503,0.05,0.15717630088329315,19875,0.0001
-1891.96875,32,15,9251,4620.15625,147845,0.05,0.124842569231987,24461,0.0001
-1791.062777777778,36,16,10137,4614.5,166122,0.05,0.0923038125038147,29030,0.0001
-1704.9915,40,16,11049,4609.575,184383,0.05,0.08953522145748138,33595,0.0001
-1611.703181818182,44,17,11883,4601.113636363636,202449,0.05,0.11657638847827911,38112,0.0001
-1530.0977083333335,48,17,12717,4597.583333333333,220684,0.05,0.14958707988262177,42670,0.0001
-1459.4303846153848,52,17,13525,4595.538461538462,238968,0.05,0.07961995899677277,47241,0.0001
-1394.2762500000001,56,17,14318,4589.732142857143,257025,0.05,0.14417582750320435,51756,0.0001
-1329.2716666666665,60,18,15161,4584.816666666667,275089,0.05,0.10794354975223541,56272,0.0001
-1274.3240625,64,18,15993,4582.859375,293303,0.05,0.08190441131591797,60825,0.0001
-1226.3792647058826,68,18,16888,4581.029411764706,311510,0.05,0.14822229743003845,65377,0.0001
-1187.7268055555555,72,18,17721,4581.736111111111,329885,0.05,0.15817400813102722,69971,0.0001
-1147.5151315789474,76,18,18552,4580.6973684210525,348133,0.05,0.1583799123764038,74533,0.0001
-1110.1205,80,18,19298,4577.6,366208,0.05,0.06959322094917297,79051,0.0001
-1075.0359523809523,84,19,19989,4572.392857142857,384081,0.05,0.14229093492031097,83520,0.0001
-1041.9251136363637,88,19,20695,4569.409090909091,402108,0.05,0.08971834927797318,88026,0.0001
-1014.715652173913,92,19,21498,4567.79347826087,420237,0.05,0.06111202761530876,92559,0.0001
-988.0078125,96,19,22298,4562.75,438024,0.05,0.08434184640645981,97005,0.0001
-963.4743000000001,100,19,23141,4563.99,456399,0.05,0.07287909090518951,101599,0.0001
-883.7233999999999,104,19,24030,4560.72,474703,0.05,0.11317185312509537,106175,0.0001
-802.8415000000001,108,19,24843,4549.9,492526,0.05,0.048083338886499405,110631,0.0001
-721.9227999999998,112,19,25762,4543.27,510746,0.05,0.09900570660829544,115186,0.0001
-666.8520000000001,116,19,26552,4540.3,528577,0.05,0.11213383823633194,119644,0.0001
-612.7854,120,19,27392,4537.15,546545,0.05,0.15922220051288605,124136,0.0001
