rollout/ep_len_mean,time/total_timesteps,time/episodes,time/time_elapsed,time/fps,rollout/exploration_rate,rollout/ep_rew_mean,train/loss,train/n_updates,train/learning_rate
2321.5,9286,4,2,3690,0.9117829999999998,-900.455,,,
2306.125,18449,8,4,3842,0.8247344999999995,-886.755,,,
2308.5833333333335,27703,12,6,3994,0.7368214999999997,-892.2841666666667,,,
2305.9375,36895,16,8,4112,0.6494974999999998,-892.528125,,,
2314.4,46288,20,11,4146,0.5602640000000001,-897.6625,,,
2324.625,55791,24,18,3036,0.4699854999999997,-905.2149999999998,0.017142631113529205,1447,0.0001
2316.035714285714,64849,28,27,2336,0.3839344999999996,-894.6896428571428,0.014309581369161606,3712,0.0001
2309.28125,73897,32,37,1977,0.29797850000000015,-877.6565625,0.017849143594503403,5974,0.0001
2305.4444444444443,82996,36,47,1752,0.21153800000000045,-862.6249999999999,0.01760328933596611,8248,0.0001
2304.075,92163,40,58,1586,0.12445150000000016,-849.9112499999999,0.01686326414346695,10540,0.0001
2298.9545454545455,101154,44,69,1465,0.05,-835.6722727272726,0.014807859435677528,12788,0.0001
2296.9375,110253,48,80,1372,0.05,-822.3333333333334,0.015703951939940453,15063,0.0001
2292.5,119210,52,91,1304,0.05,-807.7548076923077,0.013529588468372822,17302,0.0001
2290.4285714285716,128264,56,102,1251,0.05,-796.0782142857144,0.009662804193794727,19565,0.0001
2287.0,137220,60,113,1203,0.05,-782.5348333333334,0.009094424545764923,21804,0.0001
2282.484375,146079,64,124,1170,0.05,-768.8046875,0.013620546087622643,24019,0.0001
2281.264705882353,155126,68,135,1146,0.05,-758.5636764705882,0.011585047468543053,26281,0.0001
2277.152777777778,163955,72,145,1126,0.05,-747.0995833333333,0.012883101589977741,28488,0.0001
2275.184210526316,172914,76,156,1107,0.05,-738.0840789473684,0.013378634117543697,30728,0.0001
2271.85,181748,80,166,1088,0.05,-730.047375,0.021434860303997993,32936,0.0001
2266.4166666666665,190379,84,179,1061,0.05,-720.9115476190475,0.008592420257627964,35094,0.0001
2264.25,199254,88,190,1047,0.05,-713.9731818181818,0.008692553266882896,37313,0.0001
2261.804347826087,208086,92,199,1044,0.05,-706.1596739130434,0.011094780638813972,39521,0.0001
2258.96875,216861,96,207,1044,0.05,-698.6292708333334,0.00855304952710867,41715,0.0001
2255.83,225583,100,215,1044,0.05,-692.2746000000002,0.015894822776317596,43895,0.0001
2252.24,234510,104,224,1042,0.05,-677.2180999999999,0.020679112523794174,46127,0.0001
2249.32,243381,108,233,1041,0.05,-663.444,0.026905741542577744,48345,0.0001
2245.85,252288,112,242,1042,0.05,-648.1628000000001,0.018485553562641144,50571,0.0001
2242.1,261105,116,250,1041,0.05,-633.2325999999999,0.00995724368840456,52776,0.0001
2236.15,269903,120,260,1037,0.05,-616.5614,0.02091381326317787,54975,0.0001
2228.62,278653,124,268,1037,0.05,-599.5069000000001,0.013010459020733833,57163,0.0001
2225.66,287415,128,277,1036,0.05,-587.9246,0.034605808556079865,59353,0.0001
2222.87,296184,132,285,1036,0.05,-577.2498,0.016918784007430077,61545,0.0001
2218.79,304875,136,294,1036,0.05,-566.2003000000001,0.015170536004006863,63718,0.0001
2215.54,313717,140,302,1035,0.05,-556.546,0.012004692107439041,65929,0.0001
2213.22,322476,144,311,1035,0.05,-548.4384,0.033254895359277725,68118,0.0001
2210.19,331272,148,319,1035,0.05,-540.9117,0.03337477520108223,70317,0.0001
2209.09,340119,152,328,1034,0.05,-535.5288,0.03341256454586983,72529,0.0001
