time/episodes,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/fps,rollout/exploration_rate,rollout/ep_len_mean,train/learning_rate,train/n_updates,train/loss
4,2,-876.6600000000001,9119,3651,0.9133695000000002,2279.75,,,
8,5,-879.255,18318,3303,0.8259789999999995,2289.75,,,
12,8,-881.4250000000001,27499,3217,0.7387594999999996,2291.5833333333335,,,
16,11,-883.69125,36715,3222,0.6512074999999995,2294.6875,,,
20,14,-884.1699999999998,45946,3228,0.5635129999999996,2297.3,,,
24,19,-859.5904166666666,54977,2763,0.4777184999999995,2290.7083333333335,0.0001,238744,0.044943176209926605
28,27,-818.005,63657,2277,0.3952585000000004,2273.464285714286,0.0001,240914,0.030555346980690956
32,36,-783.3521874999999,72247,1994,0.3136535000000006,2257.71875,0.0001,243061,0.02457445301115513
36,44,-752.7649999999999,80931,1806,0.2311555000000003,2248.0833333333335,0.0001,245232,0.05496416240930557
40,53,-725.62225,89559,1676,0.14918950000000053,2238.975,0.0001,247389,0.02828316204249859
44,61,-701.7943181818182,98247,1587,0.06665350000000037,2232.8863636363635,0.0001,249561,0.02818523533642292
48,70,-681.325625,107049,1520,0.05,2230.1875,0.0001,251762,0.018737316131591797
52,79,-662.7490384615384,115796,1455,0.05,2226.846153846154,0.0001,253948,0.03022732213139534
56,89,-644.1983928571428,124445,1396,0.05,2222.2321428571427,0.0001,256111,0.03563889116048813
60,97,-627.4995,133033,1363,0.05,2217.2166666666667,0.0001,258258,0.03750142455101013
64,106,-613.8575,141671,1324,0.05,2213.609375,0.0001,260417,0.03168537840247154
68,116,-602.3494117647058,150340,1285,0.05,2210.8823529411766,0.0001,262584,0.06983931362628937
72,127,-591.8945833333333,158968,1248,0.05,2207.8888888888887,0.0001,264741,0.037129029631614685
76,138,-582.7501315789475,167758,1213,0.05,2207.342105263158,0.0001,266939,0.05754106864333153
80,148,-574.626625,176366,1188,0.05,2204.575,0.0001,269091,0.033524345606565475
84,157,-566.6269047619047,184957,1174,0.05,2201.8690476190477,0.0001,271239,0.042214877903461456
88,166,-559.9176136363636,193627,1166,0.05,2200.306818181818,0.0001,273406,0.02706046774983406
92,175,-553.0154347826086,202329,1155,0.05,2199.228260869565,0.0001,275582,0.05497671663761139
96,183,-546.7663541666667,210984,1147,0.05,2197.75,0.0001,277745,0.027367791160941124
100,193,-540.701,219662,1137,0.05,2196.62,0.0001,279915,0.031040770933032036
104,202,-521.0754000000001,228364,1127,0.05,2192.45,0.0001,282090,0.03036580979824066
108,212,-501.1099999999999,237001,1116,0.05,2186.83,0.0001,284250,0.06748554855585098
112,221,-481.05620000000005,245541,1109,0.05,2180.42,0.0001,286385,0.04294472932815552
116,229,-460.10880000000003,254248,1106,0.05,2175.33,0.0001,288561,0.04079773277044296
120,237,-440.21490000000006,262915,1104,0.05,2169.69,0.0001,290728,0.039632268249988556
124,246,-426.1587,271645,1101,0.05,2166.68,0.0001,292911,0.017342591658234596
128,255,-418.6686999999999,280241,1097,0.05,2165.84,0.0001,295060,0.028044557198882103
132,263,-412.7009,288792,1095,0.05,2165.45,0.0001,297197,0.029247920960187912
136,272,-407.81,297587,1092,0.05,2166.56,0.0001,299396,0.04611801356077194
140,281,-403.53789999999987,306289,1089,0.05,2167.3,0.0001,301572,0.042266976088285446
144,289,-399.2629,315000,1086,0.05,2167.53,0.0001,303749,0.04882951080799103
148,298,-396.1258,323601,1084,0.05,2165.52,0.0001,305900,0.047468677163124084
152,308,-393.3014,332151,1078,0.05,2163.55,0.0001,308037,0.031638361513614655
156,317,-391.98879999999997,340801,1074,0.05,2163.56,0.0001,310200,0.03747982531785965
160,327,-390.42,349346,1068,0.05,2163.13,0.0001,312336,0.0382157638669014
164,336,-388.54690000000005,357881,1065,0.05,2162.1,0.0001,314470,0.016849838197231293
168,344,-385.74980000000005,366289,1062,0.05,2159.49,0.0001,316572,0.0431559756398201
172,354,-384.0082,374935,1058,0.05,2159.67,0.0001,318733,0.028680093586444855
176,363,-382.8451,383509,1055,0.05,2157.51,0.0001,320877,0.05399918556213379
180,372,-381.05549999999994,392144,1052,0.05,2157.78,0.0001,323035,0.02966497838497162
184,381,-379.3361000000001,400721,1051,0.05,2157.64,0.0001,325180,0.045005977153778076
188,390,-377.3412,409363,1049,0.05,2157.36,0.0001,327340,0.05831518769264221
192,398,-375.7251,417883,1047,0.05,2155.54,0.0001,329470,0.048878103494644165
196,408,-373.46160000000003,426357,1044,0.05,2153.73,0.0001,331589,0.057130202651023865
200,417,-373.00730000000004,435066,1040,0.05,2154.04,0.0001,333766,0.05298076570034027
204,426,-373.0945,443745,1039,0.05,2153.81,0.0001,335936,0.03960477560758591
208,435,-372.68969999999985,452373,1039,0.05,2153.72,0.0001,338093,0.02284180000424385
212,443,-372.55280000000005,461076,1038,0.05,2155.35,0.0001,340268,0.03276912122964859
216,452,-372.38730000000004,469715,1038,0.05,2154.67,0.0001,342428,0.04821323975920677
220,460,-371.0135000000001,478247,1037,0.05,2153.32,0.0001,344561,0.07103296369314194
224,469,-369.34549999999996,486648,1036,0.05,2150.03,0.0001,346661,0.035437941551208496
228,479,-368.56019999999995,495179,1032,0.05,2149.38,0.0001,348794,0.047018133103847504
232,489,-367.0158,503790,1029,0.05,2149.98,0.0001,350947,0.032623644918203354
236,499,-366.67200000000014,512307,1026,0.05,2147.2,0.0001,353076,0.023577198386192322
240,508,-365.5546,520856,1024,0.05,2145.67,0.0001,355213,0.021122639998793602
244,517,-365.8976999999999,529466,1022,0.05,2144.66,0.0001,357366,0.02743818238377571
248,526,-364.8944,537978,1021,0.05,2143.77,0.0001,359494,0.014740590937435627
252,535,-364.2424,546535,1020,0.05,2143.84,0.0001,361633,0.03969357907772064
256,545,-363.2305999999999,555243,1018,0.05,2144.42,0.0001,363810,0.056457556784152985
260,554,-362.67030000000005,563695,1016,0.05,2143.49,0.0001,365923,0.02881789393723011
264,563,-362.8562,572398,1015,0.05,2145.17,0.0001,368099,0.022797362878918648
268,576,-363.02939999999995,580967,1008,0.05,2146.78,0.0001,370241,0.06228166073560715
272,585,-361.79479999999995,589470,1006,0.05,2145.35,0.0001,372367,0.029372885823249817
276,595,-360.0990000000001,598009,1003,0.05,2145.0,0.0001,374502,0.03827488049864769
280,609,-358.1621999999999,606475,994,0.05,2143.31,0.0001,376618,0.02232523262500763
284,620,-357.4652999999999,615133,991,0.05,2144.12,0.0001,378783,0.043996769934892654
288,629,-357.00120000000004,623706,990,0.05,2143.43,0.0001,380926,0.06150807440280914
292,639,-356.84719999999993,632344,988,0.05,2144.61,0.0001,383085,0.029630450531840324
296,649,-357.85689999999994,641100,987,0.05,2147.43,0.0001,385274,0.046207230538129807
300,659,-356.64529999999996,649638,985,0.05,2145.72,0.0001,387409,0.0319882407784462
304,668,-354.74249999999995,658153,984,0.05,2144.08,0.0001,389538,0.04490400105714798
308,679,-354.24150000000003,666856,981,0.05,2144.83,0.0001,391713,0.045608460903167725
312,688,-353.72539999999987,675514,980,0.05,2144.38,0.0001,393878,0.055394068360328674
316,697,-353.16509999999994,683979,980,0.05,2142.64,0.0001,395994,0.020452406257390976
320,707,-352.72009999999995,692521,979,0.05,2142.74,0.0001,398130,0.06937608867883682
324,716,-352.62699999999995,701004,978,0.05,2143.56,0.0001,400250,0.02552671730518341
328,725,-352.56859999999995,709706,978,0.05,2145.27,0.0001,402426,0.05462497100234032
332,734,-352.13319999999993,718292,978,0.05,2145.02,0.0001,404572,0.05145717039704323
336,743,-350.5991,726809,977,0.05,2145.02,0.0001,406702,0.03146730735898018
340,752,-350.6466,735527,977,0.05,2146.71,0.0001,408881,0.02564144693315029
344,760,-349.87280000000004,743991,977,0.05,2145.25,0.0001,410997,0.04838048666715622
348,769,-349.9888,752569,977,0.05,2145.91,0.0001,413142,0.03665389120578766
352,778,-349.6686,761106,978,0.05,2145.71,0.0001,415276,0.03449314460158348
356,787,-349.63289999999995,769696,977,0.05,2144.53,0.0001,417423,0.02429617941379547
360,796,-350.2874999999999,778439,977,0.05,2147.44,0.0001,419609,0.020831270143389702
364,805,-349.5944,786979,977,0.05,2145.81,0.0001,421744,0.04434092342853546
368,813,-349.08640000000014,795576,977,0.05,2146.09,0.0001,423893,0.03225746750831604
372,822,-348.9185,804160,977,0.05,2146.9,0.0001,426039,0.08750747889280319
376,831,-348.9953,812716,977,0.05,2147.07,0.0001,428178,0.017429091036319733
380,839,-349.9376,821270,977,0.05,2147.95,0.0001,430317,0.05562005937099457
384,848,-349.2591,829926,978,0.05,2147.93,0.0001,432481,0.05540454387664795
388,857,-349.4331,838578,977,0.05,2148.72,0.0001,434644,0.026467762887477875
392,867,-349.81229999999994,847258,977,0.05,2149.14,0.0001,436814,0.04557235538959503
396,876,-349.60339999999997,855846,976,0.05,2147.46,0.0001,438961,0.01739652268588543
400,884,-349.78049999999996,864441,977,0.05,2148.03,0.0001,441110,0.03312894329428673
404,894,-349.36799999999994,872958,976,0.05,2148.05,0.0001,443239,0.025734849274158478
408,902,-348.76009999999997,881620,976,0.05,2147.64,0.0001,445404,0.051647160202264786
412,911,-347.7852999999999,890224,976,0.05,2147.1,0.0001,447555,0.05234689638018608
416,919,-347.2773,898808,977,0.05,2148.29,0.0001,449701,0.03876355662941933
420,928,-347.1106,907375,977,0.05,2148.54,0.0001,451843,0.0226608794182539
424,936,-346.7442,915893,977,0.05,2148.89,0.0001,453973,0.029927924275398254
428,946,-346.23529999999994,924506,976,0.05,2148.0,0.0001,456126,0.042553797364234924
432,957,-347.01759999999996,933115,974,0.05,2148.23,0.0001,458278,0.04462280124425888
436,965,-346.88900000000007,941750,975,0.05,2149.41,0.0001,460437,0.025380810722708702
440,971,-346.8007999999999,950326,977,0.05,2147.99,0.0001,462581,0.01963835209608078
444,978,-347.4553000000001,958968,980,0.05,2149.77,0.0001,464741,0.04630433768033981
448,984,-347.42730000000006,967709,982,0.05,2151.4,0.0001,466927,0.04789404571056366
452,990,-347.21619999999996,976185,985,0.05,2150.79,0.0001,469046,0.0410529188811779
456,996,-347.1485,984760,987,0.05,2150.64,0.0001,471189,0.046341463923454285
460,1003,-346.50040000000007,993263,989,0.05,2148.24,0.0001,473315,0.022626807913184166
