time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/episodes,rollout/exploration_rate,train/loss,train/n_updates,train/learning_rate
7529,1,2282.0,9128,-1262.75,4,0.9132839999999998,,,
7566,2,2301.625,18413,-1280.125,8,0.8250764999999999,,,
7718,3,2303.5833333333335,27643,-1281.25,12,0.7373915000000002,,,
7764,4,2316.5,37064,-1293.4375,16,0.6478920000000001,,,
7722,5,2311.8,46236,-1288.85,20,0.5607580000000005,,,
5257,10,2306.125,55347,-1283.7083333333333,24,0.47420349999999967,0.09803561121225357,1336,0.0001
3483,18,2299.0714285714284,64374,-1274.2857142857142,28,0.38844699999999965,0.07485643774271011,3593,0.0001
2827,25,2285.46875,73135,-1258.75,32,0.3052175000000006,0.05674661323428154,5783,0.0001
2433,33,2275.8333333333335,81930,-1237.611111111111,36,0.22166499999999945,0.08011883497238159,7982,0.0001
2180,41,2270.875,90835,-1217.95,40,0.1370675,0.10106708109378815,10208,0.0001
1989,50,2264.7727272727275,99650,-1193.840909090909,44,0.053324999999999845,0.07742786407470703,12412,0.0001
1843,58,2263.9166666666665,108668,-1184.0416666666667,48,0.05,0.07932421565055847,14666,0.0001
1732,67,2262.8076923076924,117666,-1169.1923076923076,52,0.05,0.1291954070329666,16916,0.0001
1642,77,2261.8035714285716,126661,-1159.732142857143,56,0.05,0.09875032305717468,19165,0.0001
1575,86,2260.133333333333,135608,-1151.3666666666666,60,0.05,0.09590700268745422,21401,0.0001
1518,95,2260.3125,144660,-1144.15625,64,0.05,0.1102803498506546,23664,0.0001
1479,103,2260.25,153697,-1137.264705882353,68,0.05,0.10870128124952316,25924,0.0001
1430,113,2259.25,162666,-1130.0833333333333,72,0.05,0.12931334972381592,28166,0.0001
1399,122,2257.7236842105262,171587,-1124.6973684210527,76,0.05,0.18344300985336304,30396,0.0001
1378,130,2257.1,180568,-1120.1,80,0.05,0.12284578382968903,32641,0.0001
1358,139,2254.5119047619046,189379,-1112.2380952380952,84,0.05,0.11925923824310303,34844,0.0001
1341,147,2254.8295454545455,198425,-1108.715909090909,88,0.05,0.09648199379444122,37106,0.0001
1325,156,2253.978260869565,207366,-1104.3260869565217,92,0.05,0.10718830674886703,39341,0.0001
1298,166,2251.2604166666665,216121,-1098.4166666666667,96,0.05,0.1116061806678772,41530,0.0001
1274,176,2251.09,225109,-1094.48,100,0.05,0.11790014803409576,43777,0.0001
