time/time_elapsed,rollout/exploration_rate,rollout/ep_len_mean,time/fps,time/total_timesteps,rollout/ep_rew_mean,time/episodes,train/loss,train/n_updates,train/learning_rate
2,0.9125429999999995,2301.5,3188,9206,-893.3725000000001,4,,,
5,0.8257319999999998,2293.0,3578,18344,-884.98125,8,,,
7,0.7373344999999998,2304.0833333333335,3807,27649,-895.5991666666667,12,,,
9,0.6500009999999996,2302.625,3819,36842,-897.53,16,,,
11,0.5627909999999999,2301.1,3916,46022,-895.068,20,,,
17,0.4780129999999996,2289.4166666666665,3213,54946,-868.3654166666666,24,0.05357518792152405,476236,0.0001
23,0.3930545000000003,2281.75,2715,63889,-836.9125,28,0.029679154977202415,478472,0.0001
29,0.31052800000000036,2268.0,2433,72576,-806.893125,32,0.013173341751098633,480643,0.0001
36,0.22576900000000055,2263.8333333333335,2214,81498,-781.5861111111112,36,0.03275657817721367,482874,0.0001
43,0.14215949999999988,2257.475,2069,90299,-757.1287500000001,40,0.036940786987543106,485074,0.0001
50,0.05902500000000033,2251.1363636363635,1953,99050,-732.7897727272729,44,0.03462972864508629,487262,0.0001
59,0.05,2245.1875,1820,107769,-712.5608333333333,48,0.031018579378724098,489442,0.0001
67,0.05,2240.019230769231,1725,116481,-691.3588461538461,52,0.04868028312921524,491620,0.0001
75,0.05,2236.2678571428573,1648,125231,-672.7594642857142,56,0.03683428466320038,493807,0.0001
84,0.05,2232.383333333333,1580,133943,-659.4609999999999,60,0.05869920551776886,495985,0.0001
93,0.05,2231.140625,1525,142793,-648.02421875,64,0.02478731796145439,498198,0.0001
102,0.05,2229.470588235294,1478,151604,-637.4070588235295,68,0.011119810864329338,500400,0.0001
111,0.05,2230.0694444444443,1442,160565,-627.1961111111111,72,0.022598791867494583,502641,0.0001
119,0.05,2226.9736842105262,1414,169250,-616.4006578947369,76,0.07478395104408264,504812,0.0001
128,0.05,2223.8625,1381,177909,-608.0856249999999,80,0.058793485164642334,506977,0.0001
138,0.05,2220.2976190476193,1349,186505,-599.6185714285714,84,0.035796958953142166,509126,0.0001
146,0.05,2219.1136363636365,1329,195282,-592.5720454545454,88,0.05565805733203888,511320,0.0001
156,0.05,2217.0108695652175,1305,203965,-584.5797826086956,92,0.02558106929063797,513491,0.0001
165,0.05,2214.1041666666665,1280,212554,-577.7688541666666,96,0.05047638714313507,515638,0.0001
176,0.05,2211.63,1252,221163,-570.3806999999999,100,0.060352250933647156,517790,0.0001
187,0.05,2204.74,1228,229680,-550.5179,104,0.03991777077317238,519919,0.0001
197,0.05,2200.81,1207,238425,-533.1819,108,0.04160628840327263,522106,0.0001
206,0.05,2196.1,1195,247259,-514.2148000000001,112,0.02824803814291954,524314,0.0001
215,0.05,2191.37,1188,255979,-494.5314,116,0.019655626267194748,526494,0.0001
224,0.05,2187.19,1179,264741,-476.4131,120,0.03504500910639763,528685,0.0001
233,0.05,2183.78,1172,273324,-463.00479999999993,124,0.03185398131608963,530830,0.0001
242,0.05,2181.06,1162,281995,-452.9105,128,0.02903454378247261,532998,0.0001
252,0.05,2181.6,1153,290736,-446.7272000000001,132,0.025634530931711197,535183,0.0001
261,0.05,2179.17,1144,299415,-439.3006,136,0.020020416006445885,537353,0.0001
271,0.05,2178.61,1136,308160,-434.0712,140,0.05403432622551918,539539,0.0001
279,0.05,2178.91,1133,316941,-430.2615,144,0.02850080095231533,541735,0.0001
287,0.05,2177.82,1131,325551,-426.694,148,0.04339729994535446,543887,0.0001
296,0.05,2177.16,1128,334197,-425.0923,152,0.03739422932267189,546049,0.0001
304,0.05,2176.25,1124,342856,-423.7735,156,0.029981110244989395,548213,0.0001
313,0.05,2175.09,1121,351452,-420.9904,160,0.03437641263008118,550362,0.0001
322,0.05,2175.02,1118,360295,-418.42320000000007,164,0.03365211561322212,552573,0.0001
330,0.05,2173.77,1114,368981,-416.06440000000003,168,0.03948502242565155,554745,0.0001
339,0.05,2170.54,1112,377619,-413.1724,172,0.0686778649687767,556904,0.0001
347,0.05,2168.49,1109,386099,-411.8420000000001,176,0.019927531480789185,559024,0.0001
357,0.05,2169.08,1103,394817,-409.7919,180,0.030153580009937286,561204,0.0001
366,0.05,2168.77,1099,403382,-408.3423,184,0.049960020929574966,563345,0.0001
376,0.05,2167.02,1093,411984,-406.25319999999994,188,0.05353138968348503,565495,0.0001
386,0.05,2167.19,1089,420684,-405.88000000000005,192,0.03993002325296402,567670,0.0001
394,0.05,2168.05,1087,429359,-403.9688999999999,196,0.036043837666511536,569839,0.0001
404,0.05,2168.42,1083,438005,-403.87620000000004,200,0.04988580197095871,572001,0.0001
413,0.05,2170.39,1079,446719,-403.27380000000005,204,0.018860913813114166,574179,0.0001
422,0.05,2170.18,1077,455443,-401.2183999999999,208,0.041773971170186996,576360,0.0001
431,0.05,2167.51,1075,464010,-398.3237000000001,212,0.05120590701699257,578502,0.0001
440,0.05,2166.15,1072,472594,-396.9835,216,0.03566468879580498,580648,0.0001
449,0.05,2165.11,1071,481252,-395.86439999999993,220,0.05165087804198265,582812,0.0001
458,0.05,2165.81,1067,489905,-396.24129999999997,224,0.0352698415517807,584976,0.0001
468,0.05,2164.92,1064,498487,-395.3947,228,0.03331489861011505,587121,0.0001
477,0.05,2163.5,1062,507086,-392.87420000000003,232,0.024284938350319862,589271,0.0001
485,0.05,2162.43,1062,515658,-392.912,236,0.03752349689602852,591414,0.0001
493,0.05,2159.1,1061,524070,-391.19319999999993,240,0.06127869337797165,593517,0.0001
502,0.05,2156.31,1060,532572,-390.11980000000005,244,0.04755457490682602,595642,0.0001
510,0.05,2156.24,1059,541175,-389.67550000000006,248,0.0546523779630661,597793,0.0001
519,0.05,2155.85,1058,549782,-388.81549999999993,252,0.04469461366534233,599945,0.0001
529,0.05,2155.65,1053,558421,-387.11030000000005,256,0.031082971021533012,602105,0.0001
539,0.05,2155.65,1050,567017,-386.8744000000001,260,0.05953177064657211,604254,0.0001
549,0.05,2153.05,1047,575600,-385.41560000000004,264,0.02922038733959198,606399,0.0001
558,0.05,2153.63,1045,584344,-384.1563,268,0.0189470574259758,608585,0.0001
567,0.05,2151.44,1043,592763,-383.2607,272,0.04496276378631592,610690,0.0001
576,0.05,2152.46,1042,601345,-382.57379999999995,276,0.06390150636434555,612836,0.0001
585,0.05,2151.93,1041,610010,-381.8499,280,0.06366802752017975,615002,0.0001
595,0.05,2152.27,1038,618609,-380.7008,284,0.052401553839445114,617152,0.0001
605,0.05,2152.92,1036,627276,-379.38879999999995,288,0.05895504355430603,619318,0.0001
613,0.05,2151.17,1035,635801,-377.6411,292,0.0463552363216877,621450,0.0001
626,0.05,2151.18,1027,644477,-377.3247,296,0.03138856589794159,623619,0.0001
636,0.05,2151.89,1026,653194,-375.89130000000006,300,0.03607131168246269,625798,0.0001
646,0.05,2151.42,1023,661861,-374.8501,304,0.028916947543621063,627965,0.0001
660,0.05,2150.67,1014,670510,-373.8959999999999,308,0.036326903849840164,630127,0.0001
671,0.05,2151.98,1011,679208,-374.3795999999999,312,0.0639391839504242,632301,0.0001
681,0.05,2151.63,1009,687757,-373.8581,316,0.04395386576652527,634439,0.0001
690,0.05,2152.64,1008,696516,-371.9037,320,0.0504203662276268,636628,0.0001
700,0.05,2153.63,1006,705268,-370.37489999999997,324,0.04982229322195053,638816,0.0001
710,0.05,2153.21,1005,713808,-368.73339999999996,328,0.029949935153126717,640951,0.0001
719,0.05,2153.16,1003,722402,-368.05710000000005,332,0.041843708604574203,643100,0.0001
730,0.05,2154.32,1000,731090,-366.83040000000005,336,0.043511878699064255,645272,0.0001
739,0.05,2155.74,999,739644,-365.6778,340,0.028829243034124374,647410,0.0001
748,0.05,2156.5,999,748222,-366.17440000000005,344,0.04624944180250168,649555,0.0001
758,0.05,2156.51,998,756826,-365.0812999999999,348,0.027992289513349533,651706,0.0001
767,0.05,2155.41,997,765323,-363.8118,352,0.05887247622013092,653830,0.0001
776,0.05,2156.07,996,774028,-363.25630000000007,356,0.022509654983878136,656006,0.0001
785,0.05,2156.23,995,782640,-362.2225,360,0.5195276737213135,658159,0.0001
794,0.05,2156.23,995,791223,-361.9173,364,0.04409882053732872,660305,0.0001
803,0.05,2155.62,995,799906,-361.07539999999995,368,0.04050742834806442,662476,0.0001
812,0.05,2156.7,995,808433,-361.13700000000006,372,0.03289462625980377,664608,0.0001
820,0.05,2156.24,995,816969,-360.4642,376,0.03675665706396103,666742,0.0001
829,0.05,2155.47,995,825557,-358.6484,380,0.030584219843149185,668889,0.0001
838,0.05,2155.18,995,834127,-357.7877,384,0.03931823745369911,671031,0.0001
847,0.05,2154.71,994,842747,-357.8322,388,0.031319402158260345,673186,0.0001
856,0.05,2154.36,994,851237,-357.2463,392,0.054145731031894684,675309,0.0001
864,0.05,2152.65,994,859742,-355.93660000000006,396,0.02308335155248642,677435,0.0001
874,0.05,2152.21,993,868415,-355.82610000000005,400,0.06304430961608887,679603,0.0001
882,0.05,2152.16,993,877077,-356.52789999999993,404,0.03520810231566429,681769,0.0001
891,0.05,2151.72,993,885682,-355.716,408,0.03373245522379875,683920,0.0001
899,0.05,2150.66,994,894274,-354.49449999999996,412,0.04047301411628723,686068,0.0001
908,0.05,2151.0,993,902857,-353.36589999999995,416,0.040903083980083466,688214,0.0001
917,0.05,2147.74,992,911290,-353.28659999999996,420,0.029973473399877548,690322,0.0001
926,0.05,2146.55,992,919923,-352.297,424,0.03699539974331856,692480,0.0001
935,0.05,2147.26,992,928534,-352.4131,428,0.03022106923162937,694633,0.0001
945,0.05,2147.55,991,937157,-352.13749999999993,432,0.03301767632365227,696789,0.0001
953,0.05,2146.85,991,945775,-352.13220000000007,436,0.024348925799131393,698943,0.0001
962,0.05,2146.24,991,954268,-352.74700000000007,440,0.05731353163719177,701066,0.0001
970,0.05,2148.52,991,963074,-351.4574,444,0.03642628714442253,703268,0.0001
979,0.05,2148.14,992,971640,-350.87639999999993,448,0.025498956441879272,705409,0.0001
987,0.05,2149.39,992,980262,-351.565,452,0.025180617347359657,707565,0.0001
998,0.05,2149.48,990,988976,-352.07480000000004,456,0.04710053279995918,709743,0.0001
1008,0.05,2150.34,989,997674,-351.6634,460,0.045206859707832336,711918,0.0001
