0,1,2,0.45,0.2
1,1,1,0.49,0.2
2,1,2,0.46,0.1
3,1,1,0.49,0.2
4,1,1,0.43,0.1
5,1,1,0.5,0.2
6,1,1,0.49,0.1
7,1,1,0.27,0.3
8,1,1,0.28,0.4
9,1,1,0.26,0.3
10,1,1,0.47,0.1
11,1,1,0.31,0.3
12,1,1,0.29,0.3
13,1,1,0.31,0.5
14,1,1,0.3,0.3
15,1,1,0.28,0.3
16,1,1,0.34,0.4
17,1,1,0.3,0.3
18,1,1,0.28,0.3
19,1,1,0.3,0.3
20,1,1,0.29,0.4
21,1,1,0.3,0.4
22,1,1,0.3,0.4
23,1,1,0.3,0.4
24,1,1,0.26,0.3
25,1,1,0.44,0.1
26,1,1,0.27,0.3
27,1,1,0.45,0.1
28,1,1,0.46,0.1
29,1,2,0.46,0.2
30,1,1,0.46,0.2
31,1,1,0.45,0.2
32,1,1,0.5,0.2
33,1,2,0.45,0.1
34,1,1,0.49,0.4
35,1,1,0.41,0.1
36,1,2,0.44,0.1
37,1,2,0.48,0.4
38,1,1,0.47,0.1
39,1,1,0.47,0.1
40,1,2,0.43,0.4
41,1,1,0.46,0.4
42,1,2,0.43,0.1
43,1,1,0.46,0.4
44,1,2,0.4,0.1
45,1,2,0.4,0.1
46,1,1,0.32,0.5
47,1,1,0.28,0.3
48,1,1,0.29,0.3
49,1,1,0.31,0.3
50,1,1,0.31,0.3
51,1,1,0.33,0.3
52,1,1,0.31,0.3
53,1,1,0.29,0.3
54,1,1,0.32,0.3
55,1,1,0.26,0.3
56,1,1,0.32,0.5
57,1,1,0.29,0.3
58,1,1,0.32,0.3
59,1,1,0.28,0.3
60,1,1,0.26,0.3
61,1,1,0.27,0.3
62,1,1,0.27,0.3
63,1,1,0.29,0.3
64,1,1,0.28,0.3
65,1,1,0.28,0.3
66,1,1,0.27,0.3
67,1,1,0.31,0.3
68,1,1,0.34,0.4
69,1,1,0.28,0.3
70,1,1,0.31,0.4
71,1,1,0.31,0.3
72,1,1,0.28,0.3
73,1,1,0.3,0.4
74,1,1,0.28,0.3
75,1,1,0.31,0.3
76,1,1,0.29,0.3
77,1,1,0.32,0.3
78,1,1,0.3,0.3
79,1,1,0.24,0.3
80,1,1,0.37,0.4
81,1,1,0.28,0.3
82,1,1,0.24,0.3
83,1,2,0.46,0.2
84,1,1,0.46,0.4
85,1,2,0.42,0.5
86,1,1,0.43,0.4
87,1,1,0.45,0.1
88,1,1,0.47,0.1
89,1,1,0.47,0.1
90,1,2,0.46,0.1
91,1,2,0.47,0.1
92,1,2,0.47,0.1
93,1,2,0.45,0.1
94,1,2,0.43,0.1
95,1,2,0.48,0.5
96,1,2,0.45,0.1
97,1,1,0.48,0.5
98,1,1,0.49,0.1
99,1,2,0.41,0.1
100,1,1,0.47,0.1
101,1,1,0.45,0.4
102,1,1,0.46,0.1
103,1,2,0.47,0.2
104,1,2,0.46,0.2
105,1,2,0.45,0.1
106,1,2,0.44,0.4
107,1,1,0.45,0.5
108,1,2,0.44,0.1
109,1,2,0.46,0.1
110,1,2,0.48,0.1
111,1,1,0.46,0.1
112,1,2,0.42,0.1
113,1,2,0.44,0.1
114,1,1,0.47,0.1
115,1,1,0.46,0.1
116,1,2,0.47,0.4
117,1,2,0.43,0.1
118,1,2,0.43,0.1
119,1,2,0.46,0.1
120,1,1,0.43,0.1
121,1,2,0.45,0.1
122,1,1,0.44,0.4
123,1,2,0.47,0.4
124,1,1,0.45,0.1
125,1,2,0.43,0.1
126,1,2,0.5,0.5
127,1,2,0.43,0.4
128,1,1,0.43,0.2
129,1,2,0.43,0.1
130,1,1,0.49,0.4
131,1,2,0.46,0.2
132,1,2,0.48,0.1
133,1,2,0.44,0.1
134,1,2,0.46,0.1
135,1,1,0.48,0.4
136,1,1,0.46,0.1
137,1,1,0.49,0.1
138,1,2,0.45,0.1
139,1,1,0.48,0.5
140,1,1,0.46,0.1
141,1,1,0.47,0.1
142,1,1,0.47,0.4
143,1,1,0.46,0.4
144,1,2,0.44,0.1
145,1,2,0.48,0.5
146,1,2,0.5,0.5
147,1,1,0.49,0.1
148,1,1,0.45,0.1
149,1,2,0.45,0.1
150,1,2,0.43,0.1
151,1,2,0.44,0.1
152,1,1,0.46,0.1
153,1,2,0.44,0.1
154,1,2,0.42,0.1
155,1,1,0.47,0.1
156,1,1,0.49,0.1
157,1,1,0.46,0.5
158,1,2,0.47,0.1
159,1,2,0.49,0.1
160,1,1,0.46,0.1
161,1,2,0.49,0.1
162,1,2,0.45,0.1
163,1,1,0.46,0.1
